* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 16, 2024 6:42:55 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: bns-before-p1-sr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 77.579 7.9715
10.166832 77.659 6.9738
10.240505 77.755 6.0098
10.314712 77.855 5.0628
10.389457 77.957 4.1165
10.464743 78.063 3.1591
10.540575 78.175 2.2091
10.616956 78.292 1.2618
10.693891 78.410 0.3054
10.771383 78.527 -0.6728
10.849437 78.644 -1.6768
10.928057 78.761 -2.6982
11.007246 78.876 -3.7305
11.087009 78.986 -4.7691
11.167350 79.091 -5.8239
11.248273 79.191 -6.9061
11.329783 79.285 -7.9897
11.411883 79.371 -9.0489
11.494578 79.449 -10.0785
11.577873 79.518 -11.1129
11.661771 79.579 -12.1217
11.746277 79.634 -13.0672
11.831395 79.681 -13.9300
11.917130 79.720 -14.7446
12.003487 79.755 -15.4923
12.090469 79.790 -16.1462
12.178081 79.825 -16.6848
12.266329 79.861 -17.1210
12.355216 79.902 -17.4682
12.444747 79.955 -17.7382
12.534926 80.023 -17.9068
12.625760 80.104 -17.9758
12.717251 80.202 -18.0084
12.809406 80.322 -18.0624
12.902228 80.465 -18.0808
12.995723 80.629 -18.1006
13.089895 80.811 -18.2093
13.184750 81.010 -18.4487
13.280292 81.228 -18.7539
13.376526 81.458 -19.1765
13.473458 81.691 -19.7748
13.571093 81.928 -20.5323
13.669434 82.166 -21.4236
13.768489 82.398 -22.4559
13.868261 82.619 -23.6459
13.968756 82.829 -24.9847
14.069979 83.025 -26.4278
14.171936 83.201 -27.9509
14.274632 83.358 -29.6029
14.378072 83.494 -31.3326
14.482261 83.608 -33.0725
14.587206 83.697 -34.8726
14.692910 83.763 -36.7226
14.799381 83.805 -38.5404
14.906624 83.822 -40.3343
15.014643 83.816 -42.1385
15.123446 83.786 -43.8786
15.233036 83.735 -45.5315
15.343421 83.660 -47.1408
15.454606 83.567 -48.6558
15.566596 83.455 -50.0446
15.679398 83.325 -51.3342
15.793018 83.181 -52.5035
15.907460 83.026 -53.5265
16.022732 82.858 -54.4076
16.138840 82.685 -55.1587
16.255788 82.507 -55.7624
16.373585 82.326 -56.2119
16.492234 82.147 -56.5544
16.611744 81.971 -56.7723
16.732119 81.799 -56.8711
16.853367 81.632 -56.9213
16.975494 81.472 -56.9000
17.098505 81.316 -56.8335
17.222408 81.161 -56.7813
17.347209 81.007 -56.7262
17.472914 80.844 -56.6807
17.599530 80.669 -56.6706
17.727063 80.477 -56.6828
17.855521 80.258 -56.6643
17.984909 80.007 -56.6379
18.115235 79.720 -56.5351
18.246506 79.386 -56.2491
18.378727 79.006 -55.7883
18.511907 78.578 -54.9898
18.646052 78.098 -53.7462
18.781169 77.578 -51.9653
18.917265 77.035 -49.4626
19.054347 76.475 -46.0877
19.192423 75.955 -41.7731
19.331499 75.499 -36.4096
19.471583 75.153 -30.0558
19.612682 74.985 -22.9871
19.754804 74.998 -15.4714
19.897956 75.201 -7.9379
20.042144 75.595 -0.7776
20.187378 76.133 5.7794
20.333664 76.784 11.6008
20.481010 77.524 16.5884
20.629424 78.312 20.7458
20.778913 79.136 24.1308
20.929486 79.964 26.6850
21.081150 80.786 28.5778
21.233912 81.578 29.7937
21.387782 82.330 30.4504
21.542767 83.031 30.6659
21.698874 83.672 30.4863
21.856113 84.251 30.0711
22.014492 84.766 29.4946
22.174018 85.220 28.8401
22.334700 85.619 28.2427
22.496546 85.970 27.7021
22.659566 86.284 27.3504
22.823766 86.568 27.1565
22.989157 86.837 27.1809
23.155745 87.097 27.3990
23.323542 87.356 27.8050
23.492554 87.617 28.3880
23.662790 87.886 29.1471
23.834261 88.166 30.0785
24.006973 88.465 31.2288
24.180938 88.792 32.5742
24.356163 89.167 34.1417
24.532658 89.603 35.8274
24.710431 90.120 37.5203
24.889493 90.718 39.0080
25.069853 91.395 40.0905
25.251519 92.126 40.5590
25.434502 92.883 40.3329
25.618811 93.631 39.3507
25.804456 94.343 37.6704
25.991445 94.989 35.4137
26.179790 95.556 32.6614
26.369500 96.029 29.6547
26.560584 96.405 26.4687
26.753053 96.685 23.3472
26.946917 96.879 20.4179
27.142185 97.002 17.8188
27.338869 97.083 15.6966
27.536977 97.147 14.0755
27.736522 97.237 12.9241
27.937512 97.375 12.0782
28.139959 97.582 11.3489
28.343872 97.848 10.3827
28.549264 98.156 9.0740
28.756143 98.464 7.1902
28.964522 98.742 4.8290
29.174411 98.958 1.9677
29.385821 99.088 -1.1199
29.598763 99.120 -4.3700
29.813248 99.051 -7.5088
30.029287 98.890 -10.3565
30.246891 98.651 -12.7980
30.466073 98.359 -14.6383
30.686842 98.045 -15.9013
30.909212 97.732 -16.5468
31.133193 97.445 -16.7513
31.358797 97.189 -16.6103
31.586035 96.964 -16.2311
31.814921 96.757 -15.6689
32.045465 96.568 -14.8534
32.277680 96.402 -13.7302
32.511577 96.282 -12.2292
32.747169 96.237 -10.4764
32.984469 96.285 -8.6491
33.223488 96.428 -7.0623
33.464239 96.633 -6.0008
33.706735 96.861 -5.5145
33.950987 97.073 -5.5865
34.197010 97.240 -5.9876
34.444816 97.361 -6.4763
34.694417 97.451 -6.8984
34.945827 97.537 -7.1305
35.199059 97.654 -7.2677
35.454126 97.814 -7.5403
35.711041 98.011 -8.1621
35.969818 98.217 -9.3395
36.230470 98.388 -11.1390
36.493011 98.487 -13.4190
36.757455 98.492 -15.9905
37.023814 98.389 -18.6260
37.292104 98.185 -21.0389
37.562338 97.903 -23.0001
37.834530 97.576 -24.4171
38.108695 97.237 -25.2803
38.384846 96.914 -25.6820
38.662999 96.624 -25.8079
38.943167 96.363 -25.8415
39.225365 96.120 -25.8591
39.509608 95.884 -25.8637
39.795911 95.650 -25.8209
40.084289 95.423 -25.6996
40.374756 95.209 -25.5166
40.667328 95.015 -25.3566
40.962020 94.837 -25.3333
41.258848 94.661 -25.5322
41.557827 94.470 -25.9877
41.858972 94.247 -26.6811
42.162299 93.977 -27.5521
42.467824 93.647 -28.5136
42.775564 93.251 -29.4614
43.085533 92.785 -30.2766
43.397749 92.248 -30.8279
43.712227 91.650 -30.9825
44.028983 91.003 -30.6324
44.348036 90.326 -29.7171
44.669400 89.638 -28.2297
44.993093 88.955 -26.1917
45.319131 88.289 -23.6117
45.647532 87.654 -20.4699
45.978313 87.074 -16.7640
46.311491 86.578 -12.6001
46.647083 86.187 -8.2384
46.985107 85.897 -4.0086
47.325581 85.683 -0.1401
47.668521 85.508 3.3369
48.013947 85.348 6.5389
48.361876 85.196 9.6017
48.712326 85.054 12.5967
49.065315 84.925 15.5513
49.420863 84.812 18.5198
49.778987 84.729 21.5924
50.139706 84.704 24.7902
50.503039 84.769 27.9338
50.869005 84.934 30.6491
51.237623 85.178 32.5606
51.608912 85.457 33.4848
51.982891 85.737 33.4237
52.359580 85.994 32.3995
52.739000 86.212 30.3256
53.121168 86.359 27.0406
53.506106 86.380 22.4630
53.893833 86.211 16.7061
54.284370 85.791 10.1130
54.677737 85.080 3.2365
55.073955 84.072 -3.2377
55.473043 82.802 -8.6151
55.875024 81.354 -12.4148
56.279917 79.847 -14.6000
56.687745 78.383 -15.6802
57.098527 77.014 -16.1884
57.512287 75.770 -15.9919
57.929045 74.779 -14.5714
58.348822 74.287 -12.3331
58.771642 74.444 -11.3305
59.197525 75.093 -13.3782
59.626495 75.946 -18.3704
60.058573 76.821 -25.1189
60.493782 77.656 -32.4501
60.932145 78.444 -39.6531
61.373685 79.186 -46.4617
61.818424 79.862 -52.8011
62.266386 80.449 -58.6038
62.717593 80.931 -63.7508
63.172071 81.310 -68.0524
63.629842 81.610 -71.3301
64.090930 81.870 -73.5380
64.555359 82.133 -74.8174
65.023154 82.424 -75.5081
65.494339 82.739 -75.9983
65.968938 83.050 -76.5934
66.446976 83.319 -77.4006
66.928478 83.512 -78.3727
67.413469 83.604 -79.3619
67.901975 83.581 -80.1562
68.394021 83.449 -80.4886
68.889632 83.225 -80.1516
69.388835 82.937 -79.0820
69.891655 82.603 -77.3506
70.398118 82.225 -74.9669
70.908252 81.813 -71.6776
71.422083 81.412 -67.1380
71.939636 81.095 -61.4818
72.460941 80.892 -55.5857
72.986023 80.734 -50.1321
73.514909 80.534 -44.6191
74.047629 80.321 -37.5311
74.584208 80.283 -27.8398
75.124676 80.617 -16.9329
75.669061 81.289 -7.5561
76.217390 82.084 -0.7412
76.769692 82.846 4.4180
77.325997 83.546 9.0844
77.886333 84.239 13.9722
78.450730 85.006 19.0764
79.019216 85.873 23.6739
79.591822 86.781 26.8277
80.168577 87.622 28.3948
80.749512 88.336 29.0714
81.334656 88.947 29.7056
81.924040 89.526 30.5087
82.517696 90.109 30.9998
83.115653 90.671 30.5859
83.717943 91.144 28.9947
84.324598 91.451 26.2947
84.935649 91.524 22.8783
85.551128 91.327 19.5157
86.171066 90.886 17.2009
86.795497 90.303 16.5917
87.424453 89.701 17.3382
88.057967 89.121 18.3432
88.696071 88.493 18.9037
89.338800 87.707 19.2368
89.986185 86.675 20.2521
90.638262 85.381 23.4351
91.295065 83.944 30.9910
91.956626 82.751 45.2694
92.622982 82.394 64.4954
93.294166 82.988 80.1381
93.970214 83.943 88.1675
94.651161 84.732 91.3561
95.337042 85.204 93.0126
96.027894 85.416 94.9010
96.723752 85.471 97.3841
97.424652 85.435 100.2514
98.130631 85.335 103.3390
98.841726 85.180 106.5551
99.557974 84.965 109.8560
100.279412 84.680 113.3427
101.006078 84.328 117.2680
101.738010 83.938 121.9408
102.475245 83.557 127.4016
103.217823 83.217 133.1407
103.965782 82.895 138.6858
104.719161 82.556 144.2942
105.477999 82.205 150.3586
106.242336 81.856 156.6198
107.012212 81.486 162.7209
107.787666 81.052 168.9322
108.568740 80.547 175.9173
109.355474 80.026 -175.5988
110.147909 79.605 -165.2323
110.946086 79.417 -153.5708
111.750047 79.520 -141.9116
112.559834 79.864 -131.4315
113.375489 80.328 -122.7963
114.197055 80.785 -115.8748
115.024574 81.165 -109.9265
115.858089 81.462 -104.2505
116.697645 81.704 -98.6370
117.543284 81.906 -93.2008
118.395051 82.062 -88.0852
119.252990 82.151 -83.3408
120.117147 82.151 -78.6669
120.987565 82.079 -73.5504
121.864291 81.986 -67.7127
122.747370 81.936 -61.2111
123.636848 81.974 -54.5526
124.532771 82.093 -48.4066
125.435187 82.257 -42.9934
126.344142 82.428 -38.3575
127.259684 82.560 -34.7721
128.181860 82.590 -32.3341
129.110718 82.465 -30.5837
130.046308 82.168 -29.1925
130.988677 81.665 -28.3900
131.937875 80.888 -27.7484
132.893951 79.813 -26.0834
133.856956 78.473 -22.6093
134.826938 76.949 -16.1035
135.803950 75.421 -6.0319
136.788041 74.036 4.5790
137.779264 72.743 15.1993
138.777669 71.580 29.2809
139.783309 70.768 45.0890
140.796237 70.238 56.0563
141.816504 69.521 61.0791
142.844165 68.174 63.2181
143.879273 66.135 67.8378
144.921881 64.695 104.5138
145.972045 66.200 -151.5106
147.029819 69.044 -141.4550
148.095257 71.414 -140.3435
149.168417 73.113 -139.9980
150.249353 74.303 -138.9448
151.338121 75.131 -137.2738
152.434780 75.695 -135.0305
153.539385 76.065 -132.3923
154.651995 76.231 -130.3881
155.772667 76.107 -129.0998
156.901460 75.616 -127.6855
158.038432 74.733 -124.5472
159.183644 73.538 -117.7209
160.337154 72.236 -106.0905
161.499023 71.173 -88.9208
162.669312 70.823 -66.1669
163.848081 71.354 -45.0840
165.035392 72.277 -32.1036
166.231306 73.095 -23.9635
167.435887 73.699 -16.5529
168.649196 74.200 -8.4655
169.871298 74.709 -0.3422
171.102255 75.244 6.7782
172.342133 75.759 12.2516
173.590995 76.204 16.3381
174.848907 76.535 18.7089
176.115934 76.619 18.0294
177.392143 76.262 15.0029
178.677599 75.384 12.2758
179.972371 74.070 11.5318
181.276525 72.454 12.0496
