* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 16, 2024 7:49:27 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: bns-back12-side12-p1-c
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 46.673 21.9331
10.430145 48.673 17.6591
10.766602 50.056 10.0602
11.103058 50.634 2.6349
11.439514 50.517 -0.8494
11.775970 50.360 3.2496
12.112427 51.419 12.3297
12.448883 53.733 16.0482
12.785339 56.094 11.4842
13.121796 57.883 1.7974
13.458252 58.987 -10.1887
13.794708 59.438 -22.6159
14.131165 59.304 -34.0105
14.467621 58.708 -42.8933
14.804077 57.909 -47.8599
15.140533 57.362 -48.7330
15.476990 57.450 -48.1480
15.813446 58.035 -49.7174
16.149902 58.655 -54.4326
16.486359 58.975 -60.9720
16.822815 58.865 -67.3029
17.159271 58.365 -71.1554
17.495728 57.760 -70.2806
17.832184 57.676 -64.4136
18.168640 58.567 -57.9418
18.505096 60.018 -55.5723
18.841553 61.360 -57.2751
19.178009 62.270 -60.5736
19.514465 62.743 -62.7463
19.850922 63.062 -61.5487
20.187378 63.783 -56.9625
20.523834 65.247 -52.8072
20.860291 67.093 -52.8319
21.196747 68.773 -57.0536
21.533203 70.002 -63.5786
21.869659 70.724 -70.3695
22.206116 71.029 -75.6035
22.542572 71.169 -77.9657
22.879028 71.519 -77.6627
23.215485 72.296 -77.0236
23.551941 73.312 -78.3857
23.888397 74.219 -81.8471
24.224854 74.829 -85.7880
24.561310 75.217 -88.1900
24.897766 75.725 -88.0144
25.234222 76.751 -86.8999
25.570679 78.274 -88.2922
25.907135 79.878 -93.8199
26.243591 81.192 -102.7161
26.580048 82.035 -113.4279
26.916504 82.349 -124.3693
27.252960 82.149 -133.8777
27.589417 81.575 -140.0485
27.925873 81.024 -141.3098
28.262329 81.123 -138.9144
28.598785 82.070 -137.8848
28.935242 83.328 -141.5167
29.271698 84.363 -149.1242
29.608154 84.943 -158.7700
29.944611 85.018 -168.6707
30.281067 84.634 -177.2442
30.617523 83.935 176.9839
30.953979 83.223 174.9488
31.290436 82.891 175.8177
31.626892 83.094 176.7551
31.963348 83.579 175.5304
32.299805 84.014 172.1909
32.636261 84.241 167.9998
32.972717 84.283 164.2246
33.309174 84.273 161.5357
33.645630 84.366 159.7135
33.982086 84.627 157.8546
34.318542 84.993 155.1349
34.654999 85.346 151.3753
34.991455 85.603 146.9381
35.327911 85.745 142.3312
35.664368 85.806 137.8976
36.000824 85.830 133.6863
36.337280 85.841 129.5150
36.673737 85.822 125.1776
37.010193 85.733 120.6449
37.346649 85.534 116.1313
37.683105 85.212 112.0248
38.019562 84.794 108.7473
38.356018 84.348 106.5796
38.692474 83.961 105.4870
39.028931 83.704 105.0540
39.365387 83.590 104.6560
39.701843 83.569 103.7945
40.038300 83.560 102.3254
40.374756 83.495 100.4570
40.711212 83.341 98.6178
41.047668 83.111 97.2976
41.384125 82.870 96.8621
41.720581 82.712 97.3286
42.057037 82.721 98.2367
42.393494 82.908 98.8424
42.729950 83.207 98.5761
43.066406 83.524 97.3290
43.402863 83.791 95.3676
43.739319 83.989 93.0748
44.075775 84.137 90.7267
44.412231 84.268 88.3809
44.748688 84.401 85.9037
45.085144 84.527 83.1121
45.421600 84.613 79.9312
45.758057 84.624 76.4629
46.094513 84.540 72.9459
46.430969 84.363 69.6603
46.767426 84.120 66.8256
47.103882 83.850 64.5268
47.440338 83.587 62.6969
47.776794 83.350 61.1714
48.113251 83.139 59.7870
48.449707 82.941 58.4580
48.786163 82.745 57.1894
49.122620 82.546 56.0360
49.459076 82.349 55.0472
49.795532 82.166 54.2287
50.131989 82.005 53.5331
50.468445 81.871 52.8767
50.804901 81.759 52.1750
51.141357 81.655 51.3800
51.477814 81.548 50.5042
51.814270 81.426 49.6160
52.150726 81.291 48.8056
52.487183 81.152 48.1346
52.823639 81.020 47.5992
53.160095 80.902 47.1371
53.496552 80.793 46.6825
53.833008 80.681 46.2326
54.169464 80.557 45.8720
54.505920 80.427 45.7282
54.842377 80.312 45.8772
55.178833 80.241 46.2610
55.515289 80.230 46.6856
55.851746 80.269 46.9266
56.188202 80.327 46.8698
56.524658 80.368 46.5815
56.861115 80.374 46.2727
57.197571 80.353 46.1987
57.534027 80.336 46.5444
57.870483 80.373 47.3323
58.206940 80.508 48.3874
58.543396 80.766 49.3828
58.879852 81.142 49.9490
59.216309 81.605 49.7881
59.552765 82.109 48.7388
59.889221 82.606 46.7843
60.225677 83.056 44.0247
60.562134 83.429 40.6375
60.898590 83.708 36.8383
61.235046 83.891 32.8452
61.571503 83.985 28.8484
61.907959 84.009 24.9845
62.244415 83.984 21.3190
62.580872 83.928 17.8461
62.917328 83.855 14.5093
63.253784 83.769 11.2385
63.590240 83.665 7.9912
63.926697 83.537 4.7772
64.263153 83.384 1.6541
64.599609 83.213 -1.3035
64.936066 83.043 -4.0559
65.272522 82.897 -6.6484
65.608978 82.796 -9.2335
65.945435 82.746 -12.0398
66.281891 82.732 -15.2957
66.618347 82.725 -19.1522
66.954803 82.693 -23.6487
67.291260 82.607 -28.7292
67.627716 82.451 -34.2865
67.964172 82.221 -40.2085
68.300629 81.925 -46.4172
68.637085 81.578 -52.8971
68.973541 81.201 -59.7170
69.309998 80.818 -67.0439
69.646454 80.447 -75.1406
69.982910 80.101 -84.3374
70.319366 79.787 -94.9734
70.655823 79.511 -107.3165
70.992279 79.288 -121.4731
71.328735 79.143 -137.2992
71.665192 79.106 -154.3441
72.001648 79.193 -171.8827
72.338104 79.387 170.9264
72.674561 79.644 154.8339
73.011017 79.916 140.3687
73.347473 80.170 127.8217
73.683929 80.406 117.2800
74.020386 80.645 108.6505
74.356842 80.925 101.6709
74.693298 81.276 95.9468
75.029755 81.711 91.0358
75.366211 82.223 86.5435
75.702667 82.796 82.1790
76.039124 83.408 77.7500
76.375580 84.040 73.1310
76.712036 84.676 68.2369
77.048492 85.299 63.0126
77.384949 85.891 57.4338
77.721405 86.436 51.5066
78.057861 86.918 45.2664
78.394318 87.325 38.7759
78.730774 87.645 32.1248
79.067230 87.870 25.4298
79.403687 87.996 18.8332
79.740143 88.030 12.4941
80.076599 87.983 6.5710
80.413055 87.881 1.1918
80.749512 87.757 -3.5849
81.085968 87.647 -7.8061
81.422424 87.581 -11.6343
81.758881 87.573 -15.3112
82.095337 87.616 -19.0815
82.431793 87.686 -23.1149
82.768250 87.753 -27.4667
83.104706 87.788 -32.0853
83.441162 87.773 -36.8481
83.777618 87.702 -41.6040
84.114075 87.579 -46.2114
84.450531 87.415 -50.5640
84.786987 87.227 -54.6036
85.123444 87.029 -58.3146
85.459900 86.834 -61.7062
85.796356 86.654 -64.7968
86.132812 86.500 -67.6165
86.469269 86.388 -70.2314
86.805725 86.328 -72.7679
87.142181 86.320 -75.4028
87.478638 86.347 -78.3065
87.815094 86.380 -81.5673
88.151550 86.386 -85.1500
88.488007 86.340 -88.9100
88.824463 86.232 -92.6515
89.160919 86.070 -96.1940
89.497375 85.868 -99.4178
89.833832 85.640 -102.2609
90.170288 85.396 -104.6669
90.506744 85.147 -106.5256
90.843201 84.922 -107.6766
91.179657 84.775 -108.0312
91.516113 84.782 -107.7804
91.852570 84.997 -107.4946
92.189026 85.401 -107.9058
92.525482 85.910 -109.4993
92.861938 86.425 -112.3123
93.198395 86.872 -116.0427
93.534851 87.224 -120.2714
93.871307 87.489 -124.6409
94.207764 87.698 -128.9584
94.544220 87.882 -133.2214
94.880676 88.056 -137.5592
95.217133 88.209 -142.1149
95.553589 88.316 -146.9355
95.890045 88.347 -151.9294
96.226501 88.284 -156.8940
96.562958 88.129 -161.5806
96.899414 87.900 -165.7667
97.235870 87.631 -169.3167
97.572327 87.358 -172.2125
97.908783 87.113 -174.5449
98.245239 86.914 -176.4629
98.581696 86.768 -178.1136
98.918152 86.672 -179.6104
99.254608 86.624 178.9668
99.591064 86.618 177.5554
99.927521 86.649 176.1057
100.263977 86.710 174.5874
100.600433 86.795 172.9930
100.936890 86.902 171.3259
101.273346 87.030 169.5780
101.609802 87.179 167.7163
101.946259 87.344 165.6925
102.282715 87.515 163.4712
102.619171 87.679 161.0581
102.955627 87.825 158.5083
103.292084 87.946 155.9080
103.628540 88.047 153.3423
103.964996 88.135 150.8634
104.301453 88.221 148.4780
104.637909 88.313 146.1565
104.974365 88.412 143.8591
105.310822 88.517 141.5609
105.647278 88.627 139.2592
105.983734 88.743 136.9607
106.320190 88.871 134.6598
106.656647 89.014 132.3213
106.993103 89.177 129.8816
107.329559 89.357 127.2645
107.666016 89.545 124.4043
108.002472 89.729 121.2617
108.338928 89.895 117.8296
108.675385 90.031 114.1309
109.011841 90.125 110.2167
109.348297 90.166 106.1619
109.684753 90.151 102.0614
110.021210 90.081 98.0201
110.357666 89.962 94.1333
110.694122 89.810 90.4626
111.030579 89.640 87.0144
111.367035 89.468 83.7329
111.703491 89.299 80.5186
112.039948 89.132 77.2649
112.376404 88.955 73.8955
112.712860 88.754 70.3799
113.049316 88.517 66.7268
113.385773 88.231 62.9647
113.722229 87.886 59.1293
114.058685 87.470 55.2689
114.395142 86.969 51.4674
114.731598 86.370 47.8688
115.068054 85.666 44.6896
115.404510 84.866 42.2001
115.740967 84.003 40.6617
116.077423 83.131 40.2194
116.413879 82.313 40.7894
116.750336 81.592 42.0507
117.086792 80.966 43.6160
117.423248 80.396 45.2843
117.759705 79.842 47.1598
118.096161 79.300 49.5472
118.432617 78.814 52.7012
118.769073 78.460 56.5640
119.105530 78.292 60.6855
119.441986 78.304 64.4557
119.778442 78.434 67.4685
120.114899 78.607 69.6766
120.451355 78.772 71.2832
120.787811 78.913 72.5569
121.124268 79.036 73.7036
121.460724 79.157 74.8177
121.797180 79.293 75.8947
122.133636 79.451 76.8794
122.470093 79.630 77.7194
122.806549 79.828 78.3911
123.143005 80.043 78.8923
123.479462 80.279 79.2083
123.815918 80.542 79.2815
124.152374 80.831 79.0103
124.488831 81.137 78.2805
124.825287 81.442 77.0100
125.161743 81.724 75.1724
125.498199 81.963 72.7915
125.834656 82.143 69.9133
126.171112 82.251 66.5823
126.507568 82.272 62.8361
126.844025 82.189 58.7217
127.180481 81.979 54.3213
127.516937 81.621 49.7742
127.853394 81.096 45.2811
128.189850 80.393 41.0896
128.526306 79.517 37.4548
128.862762 78.479 34.5801
129.199219 77.292 32.5508
129.535675 75.947 31.3169
129.872131 74.373 30.8069
130.208588 72.395 31.2789
130.545044 69.665 34.2147
130.881500 65.582 45.8707
131.217957 61.534 90.9155
131.554413 65.760 139.3947
131.890869 70.579 151.4279
132.227325 73.923 152.9683
132.563782 76.369 151.3303
132.900238 78.265 148.5115
133.236694 79.806 145.2069
133.573151 81.109 141.6455
133.909607 82.246 137.8473
134.246063 83.251 133.7507
134.582520 84.136 129.2988
134.918976 84.896 124.4949
135.255432 85.521 119.4224
135.591888 86.006 114.2344
135.928345 86.353 109.1235
136.264801 86.577 104.2800
136.601257 86.704 99.8451
136.937714 86.767 95.8716
137.274170 86.792 92.3104
137.610626 86.797 89.0420
137.947083 86.781 85.9486
138.283539 86.730 82.9893
138.619995 86.633 80.2327
138.956451 86.490 77.8303
139.292908 86.319 75.9407
139.629364 86.158 74.6335
139.965820 86.047 73.8162
140.302277 86.016 73.2366
140.638733 86.065 72.5802
140.975189 86.169 71.6021
141.311646 86.291 70.2003
141.648102 86.399 68.4066
141.984558 86.469 66.3295
142.321014 86.492 64.1018
142.657471 86.462 61.8523
142.993927 86.385 59.6948
143.330383 86.267 57.7257
143.666840 86.121 56.0164
144.003296 85.963 54.6041
144.339752 85.807 53.4867
144.676208 85.666 52.6272
145.012665 85.551 51.9691
145.349121 85.468 51.4484
145.685577 85.422 50.9944
146.022034 85.416 50.5209
146.358490 85.448 49.9236
146.694946 85.509 49.0980
147.031403 85.581 47.9738
147.367859 85.645 46.5453
147.704315 85.681 44.8779
