* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 16, 2024 7:48:49 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: bns-back12-side12-p1-l
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 42.648 137.2846
10.430145 43.317 131.9351
10.766602 43.850 125.6551
11.103058 44.166 118.0256
11.439514 44.218 109.5112
11.775970 44.082 100.9568
12.112427 43.973 92.9501
12.448883 44.180 85.1503
12.785339 44.869 76.2387
13.121796 45.957 65.1102
13.458252 47.209 51.8535
13.794708 48.403 37.3973
14.131165 49.381 22.8152
14.467621 50.046 9.0326
14.804077 50.353 -3.1297
15.140533 50.315 -12.8173
15.476990 50.035 -19.1215
15.813446 49.759 -21.5039
16.149902 49.825 -20.8725
16.486359 50.377 -19.9072
16.822815 51.196 -20.9185
17.159271 51.944 -24.1264
17.495728 52.432 -28.3599
17.832184 52.647 -32.1411
18.168640 52.738 -34.3585
18.505096 52.945 -34.9446
18.841553 53.431 -35.1717
19.178009 54.127 -36.5587
19.514465 54.822 -39.4322
19.850922 55.378 -42.9175
20.187378 55.819 -45.8323
20.523834 56.299 -47.6133
20.860291 56.973 -48.8838
21.196747 57.820 -50.8872
21.533203 58.654 -54.1101
21.869659 59.298 -57.7556
22.206116 59.737 -60.2838
22.542572 60.183 -60.4712
22.879028 60.977 -58.9418
23.215485 62.223 -58.3951
23.551941 63.613 -60.8374
23.888397 64.760 -65.8715
24.224854 65.456 -71.6570
24.561310 65.710 -75.8451
24.897766 65.819 -76.2466
25.234222 66.391 -72.9858
25.570679 67.787 -70.4990
25.907135 69.572 -72.9114
26.243591 71.143 -80.1348
26.580048 72.193 -90.2394
26.916504 72.620 -101.2823
27.252960 72.406 -111.3719
27.589417 71.633 -118.2163
27.925873 70.671 -119.1232
28.262329 70.398 -113.9854
28.598785 71.371 -109.5307
28.935242 72.878 -111.5390
29.271698 74.119 -119.0982
29.608154 74.796 -129.5095
29.944611 74.854 -140.5954
30.281067 74.318 -150.5239
30.617523 73.296 -157.3542
30.953979 72.096 -159.0898
31.290436 71.341 -155.5158
31.626892 71.507 -150.7662
31.963348 72.259 -149.4758
32.299805 72.997 -151.9280
32.636261 73.447 -156.1754
32.972717 73.605 -160.4091
33.309174 73.602 -163.5682
33.645630 73.606 -165.4842
33.982086 73.730 -166.7664
34.318542 73.978 -168.2348
34.654999 74.272 -170.3171
34.991455 74.542 -172.9682
35.327911 74.755 -175.9641
35.664368 74.906 -179.1499
36.000824 74.989 177.5237
36.337280 74.986 174.1116
36.673737 74.875 170.7863
37.010193 74.646 167.8538
37.346649 74.319 165.6683
37.683105 73.939 164.5020
38.019562 73.571 164.4413
38.356018 73.275 165.3713
38.692474 73.091 167.0392
39.028931 73.042 169.1181
39.365387 73.116 171.2624
39.701843 73.269 173.2631
40.038300 73.437 175.2995
40.374756 73.604 178.0479
40.711212 73.888 -177.6857
41.047668 74.546 -172.0340
41.384125 75.771 -166.9526
41.720581 77.425 -164.8643
42.057037 79.173 -166.5648
42.393494 80.758 -171.3690
42.729950 82.066 -178.1900
43.066406 83.070 173.9289
43.402863 83.794 165.7142
43.739319 84.284 157.6753
44.075775 84.599 150.1146
44.412231 84.798 143.1298
44.748688 84.929 136.6427
45.085144 85.013 130.4853
45.421600 85.048 124.5231
45.758057 85.021 118.7480
46.094513 84.921 113.2895
46.430969 84.760 108.3446
46.767426 84.572 104.0627
47.103882 84.404 100.4366
47.440338 84.294 97.2694
47.776794 84.254 94.2660
48.113251 84.265 91.1964
48.449707 84.299 88.0029
48.786163 84.339 84.7789
49.122620 84.387 81.6581
49.459076 84.467 78.7008
49.795532 84.605 75.8383
50.131989 84.818 72.8991
50.468445 85.109 69.6797
50.804901 85.471 65.9924
51.141357 85.894 61.6627
51.477814 86.359 56.5077
51.814270 86.840 50.3452
52.150726 87.295 43.0398
52.487183 87.675 34.5510
52.823639 87.930 24.9507
53.160095 88.015 14.4077
53.496552 87.895 3.1603
53.833008 87.546 -8.5070
54.169464 86.951 -20.2747
54.505920 86.105 -31.7896
54.842377 85.019 -42.6652
55.178833 83.722 -52.4987
55.515289 82.273 -60.9335
55.851746 80.763 -67.8000
56.188202 79.298 -73.3103
56.524658 77.950 -78.1313
56.861115 76.712 -83.1349
57.197571 75.500 -88.9706
57.534027 74.204 -95.8798
57.870483 72.738 -103.8600
58.206940 71.050 -112.9891
58.543396 69.105 -123.7711
58.879852 66.885 -137.5495
59.216309 64.457 -157.0844
59.552765 62.375 173.6761
59.889221 62.046 136.6028
60.225677 63.661 104.4039
60.562134 65.729 81.5908
60.898590 67.503 64.8938
61.235046 68.887 51.6941
61.571503 69.947 40.6736
61.907959 70.771 31.1245
62.244415 71.428 22.5818
62.580872 71.961 14.7098
62.917328 72.392 7.3022
63.253784 72.732 0.2967
63.590240 72.992 -6.2480
63.926697 73.199 -12.2214
64.263153 73.392 -17.5555
64.599609 73.619 -22.3074
64.936066 73.916 -26.6815
65.272522 74.295 -30.9612
65.608978 74.744 -35.3918
65.945435 75.236 -40.0954
66.281891 75.745 -45.0686
66.618347 76.252 -50.2374
66.954803 76.753 -55.5191
67.291260 77.247 -60.8577
67.627716 77.734 -66.2263
67.964172 78.215 -71.6071
68.300629 78.686 -76.9717
68.637085 79.151 -82.2771
68.973541 79.615 -87.4831
69.309998 80.092 -92.5847
69.646454 80.595 -97.6390
69.982910 81.133 -102.7680
70.319366 81.701 -108.1266
70.655823 82.284 -113.8486
70.992279 82.855 -120.0005
71.328735 83.387 -126.5642
71.665192 83.857 -133.4492
72.001648 84.249 -140.5215
72.338104 84.558 -147.6340
72.674561 84.787 -154.6509
73.011017 84.942 -161.4636
73.347473 85.036 -167.9961
73.683929 85.080 -174.2004
74.020386 85.086 179.9521
74.356842 85.067 174.4788
74.693298 85.037 169.3815
75.029755 85.016 164.6296
75.366211 85.022 160.1334
75.702667 85.070 155.7275
76.039124 85.164 151.1868
76.375580 85.288 146.2771
76.712036 85.412 140.8213
77.048492 85.495 134.7406
77.384949 85.498 128.0598
77.721405 85.385 120.8840
78.057861 85.126 113.3649
78.394318 84.701 105.6729
78.730774 84.089 97.9781
79.067230 83.273 90.4441
79.403687 82.224 83.2330
79.740143 80.900 76.5361
80.076599 79.227 70.6487
80.413055 77.077 66.1636
80.749512 74.213 64.5626
81.085968 70.251 70.5344
81.422424 65.769 100.6108
81.758881 67.316 148.8228
82.095337 71.570 165.6387
82.431793 74.667 168.5077
82.768250 76.887 167.1758
83.104706 78.571 164.3170
83.441162 79.915 160.8051
83.777618 81.032 156.9399
84.114075 81.985 152.8134
84.450531 82.808 148.4529
84.786987 83.518 143.8829
85.123444 84.124 139.1456
85.459900 84.632 134.3024
85.796356 85.046 129.4299
86.132812 85.372 124.6169
86.469269 85.619 119.9595
86.805725 85.801 115.5502
87.142181 85.938 111.4574
87.478638 86.054 107.6975
87.815094 86.174 104.2119
88.151550 86.316 100.8676
88.488007 86.485 97.4926
88.824463 86.669 93.9346
89.160919 86.852 90.1094
89.497375 87.012 86.0144
89.833832 87.136 81.7075
90.170288 87.217 77.2672
90.506744 87.258 72.7549
90.843201 87.265 68.1924
91.179657 87.240 63.5596
91.516113 87.183 58.8118
91.852570 87.086 53.9049
92.189026 86.935 48.8206
92.525482 86.713 43.5835
92.861938 86.404 38.2688
93.198395 85.991 33.0061
93.534851 85.465 27.9791
93.871307 84.826 23.4221
94.207764 84.088 19.6029
94.544220 83.286 16.7784
94.880676 82.477 15.1086
95.217133 81.735 14.5422
95.553589 81.121 14.7518
95.890045 80.658 15.2242
96.226501 80.322 15.4937
96.562958 80.058 15.3306
96.899414 79.820 14.7487
97.235870 79.580 13.8824
97.572327 79.332 12.8574
97.908783 79.081 11.7264
98.245239 78.826 10.4801
98.581696 78.562 9.0968
98.918152 78.278 7.5872
99.254608 77.964 6.0020
99.591064 77.617 4.4119
99.927521 77.235 2.8833
100.263977 76.820 1.4745
100.600433 76.374 0.2500
100.936890 75.902 -0.7086
101.273346 75.418 -1.3188
101.609802 74.944 -1.5463
101.946259 74.506 -1.4534
102.282715 74.118 -1.1959
102.619171 73.778 -0.9460
102.955627 73.468 -0.7911
103.292084 73.174 -0.6973
103.628540 72.897 -0.5718
103.964996 72.656 -0.3795
104.301453 72.470 -0.2198
104.637909 72.348 -0.2913
104.974365 72.270 -0.7634
105.310822 72.213 -1.6715
105.647278 72.162 -2.9286
105.983734 72.126 -4.4403
106.320190 72.128 -6.2330
106.656647 72.185 -8.4940
106.993103 72.291 -11.4822
107.329559 72.416 -15.3767
107.666016 72.521 -20.1863
108.002472 72.583 -25.7706
108.338928 72.603 -31.9329
108.675385 72.601 -38.5197
109.011841 72.611 -45.4860
109.348297 72.662 -52.8947
109.684753 72.770 -60.8488
110.021210 72.931 -69.3956
110.357666 73.131 -78.4620
110.694122 73.357 -87.8530
111.030579 73.601 -97.3036
111.367035 73.866 -106.5509
111.703491 74.158 -115.3975
112.039948 74.486 -123.7430
112.376404 74.852 -131.5768
112.712860 75.250 -138.9386
113.049316 75.669 -145.8739
113.385773 76.098 -152.4131
113.722229 76.531 -158.5834
114.058685 76.968 -164.4377
114.395142 77.406 -170.0736
114.731598 77.837 -175.6157
115.068054 78.243 178.8320
115.404510 78.597 173.2412
115.740967 78.874 167.6877
116.077423 79.059 162.3435
116.413879 79.152 157.4323
116.750336 79.176 153.1609
117.086792 79.172 149.6349
117.423248 79.184 146.7887
117.759705 79.245 144.3859
118.096161 79.357 142.1210
118.432617 79.494 139.7751
118.769073 79.618 137.3152
119.105530 79.703 134.8815
119.441986 79.744 132.6919
119.778442 79.762 130.9213
120.114899 79.793 129.6056
120.451355 79.864 128.6196
120.787811 79.984 127.7539
121.124268 80.138 126.8456
121.460724 80.304 125.8658
121.797180 80.468 124.9060
122.133636 80.636 124.0842
122.470093 80.829 123.4391
122.806549 81.069 122.8768
123.143005 81.364 122.2074
123.479462 81.701 121.2484
123.815918 82.053 119.9133
124.152374 82.398 118.2277
124.488831 82.722 116.2795
124.825287 83.021 114.1516
125.161743 83.300 111.8792
125.498199 83.559 109.4526
125.834656 83.792 106.8550
126.171112 83.988 104.1062
126.507568 84.136 101.2844
126.844025 84.235 98.5122
127.180481 84.293 95.9152
127.516937 84.329 93.5704
127.853394 84.366 91.4683
128.189850 84.422 89.5107
128.526306 84.502 87.5546
128.862762 84.595 85.4784
129.199219 84.685 83.2340
129.535675 84.756 80.8545
129.872131 84.799 78.4240
130.208588 84.817 76.0280
130.545044 84.820 73.7123
130.881500 84.819 71.4629
131.217957 84.819 69.2189
131.554413 84.818 66.9092
131.890869 84.807 64.4949
132.227325 84.772 61.9929
132.563782 84.709 59.4694
132.900238 84.617 57.0079
133.236694 84.508 54.6664
133.573151 84.396 52.4399
133.909607 84.293 50.2510
134.246063 84.202 47.9766
134.582520 84.110 45.5027
134.918976 83.999 42.7756
135.255432 83.847 39.8223
135.591888 83.639 36.7333
135.928345 83.369 33.6218
136.264801 83.042 30.5795
136.601257 82.665 27.6462
136.937714 82.241 24.8107
137.274170 81.767 22.0410
137.610626 81.229 19.3340
137.947083 80.610 16.7540
138.283539 79.897 14.4430
138.619995 79.085 12.5925
138.956451 78.186 11.3896
139.292908 77.216 10.9537
139.629364 76.190 11.3083
139.965820 75.102 12.4398
140.302277 73.911 14.4756
140.638733 72.562 17.9642
140.975189 71.037 24.2072
141.311646 69.521 35.3547
141.648102 68.663 52.5952
141.984558 69.214 71.3737
142.321014 70.830 84.6270
142.657471 72.647 91.3341
142.993927 74.250 93.7362
143.330383 75.556 93.7599
143.666840 76.591 92.5713
144.003296 77.405 90.8335
144.339752 78.048 88.9117
144.676208 78.560 86.9980
145.012665 78.973 85.1920
145.349121 79.311 83.5555
145.685577 79.593 82.1383
146.022034 79.841 80.9720
146.358490 80.080 80.0438
146.694946 80.329 79.2731
