* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 16, 2024 7:49:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: bns-back12-side12-p1-r
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 46.314 70.3983
10.430145 43.705 55.6634
10.766602 38.306 54.1579
11.103058 34.784 108.4600
11.439514 40.603 126.9936
11.775970 43.426 114.3485
12.112427 43.872 94.1170
12.448883 42.328 68.2381
12.785339 38.639 30.5676
13.121796 35.056 -40.3968
13.458252 38.040 -109.5977
13.794708 40.646 -150.0205
14.131165 41.255 175.1498
14.467621 40.665 135.3412
14.804077 40.727 87.0772
15.140533 42.770 44.0252
15.476990 45.251 15.7162
15.813446 47.232 -1.7061
16.149902 48.791 -12.3074
16.486359 50.173 -19.0525
16.822815 51.460 -24.2956
17.159271 52.570 -29.1965
17.495728 53.421 -33.5884
17.832184 54.055 -36.6736
18.168640 54.658 -38.0328
18.505096 55.440 -38.4840
18.841553 56.428 -39.7432
19.178009 57.431 -42.8586
19.514465 58.229 -47.4791
19.850922 58.720 -52.3947
20.187378 58.952 -56.2499
20.523834 59.114 -58.2241
20.860291 59.444 -58.7776
21.196747 60.015 -59.5345
21.533203 60.654 -61.7005
21.869659 61.121 -64.9349
22.206116 61.310 -67.7247
22.542572 61.346 -68.3173
22.879028 61.589 -66.1661
23.215485 62.360 -63.3804
23.551941 63.525 -63.0006
23.888397 64.665 -65.7100
24.224854 65.504 -70.0131
24.561310 66.025 -73.8322
24.897766 66.454 -75.6082
25.234222 67.171 -75.6138
25.570679 68.365 -76.4429
25.907135 69.794 -80.5389
26.243591 71.075 -88.1136
26.580048 71.951 -97.9445
26.916504 72.308 -108.4375
27.252960 72.119 -117.8158
27.589417 71.483 -123.9047
27.925873 70.785 -124.4700
28.262329 70.798 -120.1445
28.598785 71.883 -116.9681
28.935242 73.398 -119.4380
29.271698 74.671 -126.7234
29.608154 75.434 -136.5192
29.944611 75.631 -146.8878
30.281067 75.285 -156.1932
30.617523 74.491 -162.7793
30.953979 73.501 -165.0215
31.290436 72.798 -162.5513
31.626892 72.818 -158.1454
31.963348 73.434 -155.7638
32.299805 74.184 -156.5002
32.636261 74.793 -159.1707
32.972717 75.223 -162.4034
33.309174 75.558 -165.4659
33.645630 75.891 -168.3372
33.982086 76.261 -171.3967
34.318542 76.637 -174.9554
34.654999 76.973 -178.9982
34.991455 77.243 176.7264
35.327911 77.466 172.4569
35.664368 77.674 168.2243
36.000824 77.886 163.8408
36.337280 78.082 159.0774
36.673737 78.212 153.8857
37.010193 78.227 148.4948
37.346649 78.106 143.3517
37.683105 77.877 138.9625
38.019562 77.616 135.6675
38.356018 77.429 133.4065
38.692474 77.393 131.6558
39.028931 77.509 129.7208
39.365387 77.722 127.1709
39.701843 77.972 123.9781
40.038300 78.242 120.2975
40.374756 78.553 116.1570
40.711212 78.931 111.3024
41.047668 79.364 105.2996
41.384125 79.796 97.7893
41.720581 80.151 88.6648
42.057037 80.360 78.0702
42.393494 80.377 66.3019
42.729950 80.184 53.7152
43.066406 79.786 40.6680
43.402863 79.212 27.4875
43.739319 78.514 14.4398
44.075775 77.761 1.6867
44.412231 77.033 -10.7534
44.748688 76.398 -22.9998
45.085144 75.894 -35.2127
45.421600 75.520 -47.4354
45.758057 75.249 -59.4786
46.094513 75.048 -70.9319
46.430969 74.908 -81.2904
46.767426 74.852 -90.1509
47.103882 74.927 -97.4169
47.440338 75.178 -103.3940
47.776794 75.600 -108.6323
48.113251 76.138 -113.5797
48.449707 76.721 -118.3481
48.786163 77.305 -122.7661
49.122620 77.896 -126.6013
49.459076 78.532 -129.7823
49.795532 79.258 -132.4923
50.131989 80.097 -135.0858
50.468445 81.040 -137.9097
50.804901 82.066 -141.2008
51.141357 83.157 -145.1270
51.477814 84.294 -149.8711
51.814270 85.451 -155.6433
52.150726 86.583 -162.6084
52.487183 87.633 -170.8073
52.823639 88.547 179.8649
53.160095 89.278 169.6290
53.496552 89.795 158.7771
53.833008 90.078 147.6383
54.169464 90.120 136.5619
54.505920 89.928 125.9099
54.842377 89.523 116.0479
55.178833 88.944 107.3164
55.515289 88.252 99.9677
55.851746 87.525 94.0640
56.188202 86.838 89.3955
56.524658 86.234 85.5245
56.861115 85.703 81.9962
57.197571 85.202 78.5775
57.534027 84.686 75.3320
57.870483 84.142 72.5100
58.206940 83.591 70.3535
58.543396 83.086 68.9170
58.879852 82.672 67.9924
59.216309 82.365 67.2095
59.552765 82.143 66.2424
59.889221 81.964 64.9545
60.225677 81.795 63.3849
60.562134 81.619 61.6475
60.898590 81.433 59.8414
61.235046 81.241 58.0219
61.571503 81.044 56.2170
61.907959 80.848 54.4504
62.244415 80.659 52.7363
62.580872 80.486 51.0527
62.917328 80.335 49.3241
63.253784 80.204 47.4462
63.590240 80.076 45.3480
63.926697 79.930 43.0487
64.263153 79.752 40.6681
64.599609 79.542 38.3774
64.936066 79.322 36.3101
65.272522 79.125 34.4695
65.608978 78.978 32.6912
65.945435 78.888 30.7004
66.281891 78.830 28.2483
66.618347 78.762 25.2299
66.954803 78.644 21.7152
67.291260 78.449 17.8978
67.627716 78.172 14.0085
67.964172 77.827 10.2306
68.300629 77.442 6.6348
68.637085 77.043 3.1484
68.973541 76.641 -0.4182
69.309998 76.224 -4.2943
69.646454 75.755 -8.6493
69.982910 75.178 -13.5145
70.319366 74.426 -18.7313
70.655823 73.425 -23.8854
70.992279 72.103 -28.1581
71.328735 70.425 -30.0012
71.665192 68.540 -26.7196
72.001648 67.180 -15.8287
72.338104 67.470 -2.0519
72.674561 69.078 4.7603
73.011017 70.842 3.3066
73.347473 72.269 -3.2574
73.683929 73.296 -12.4717
74.020386 73.979 -22.8455
74.356842 74.400 -33.4247
74.693298 74.658 -43.5687
75.029755 74.858 -52.9099
75.366211 75.107 -61.3949
75.702667 75.480 -69.2820
76.039124 76.001 -76.9919
76.375580 76.644 -84.8696
76.712036 77.357 -93.0382
77.048492 78.094 -101.4272
77.384949 78.830 -109.8969
77.721405 79.557 -118.3486
78.057861 80.272 -126.7761
78.394318 80.971 -135.2485
78.730774 81.636 -143.8544
79.067230 82.242 -152.6414
79.403687 82.763 -161.5857
79.740143 83.175 -170.5933
80.076599 83.465 -179.5220
80.413055 83.627 171.7887
80.749512 83.668 163.4905
81.085968 83.599 155.7034
81.422424 83.439 148.5001
81.758881 83.205 141.8997
82.095337 82.910 135.8767
82.431793 82.560 130.3870
82.768250 82.151 125.4047
83.104706 81.674 120.9590
83.441162 81.116 117.1627
83.777618 80.472 114.2281
84.114075 79.748 112.4701
84.450531 78.977 112.2887
84.786987 78.236 114.0902
85.123444 77.658 118.0652
85.459900 77.415 123.8024
85.796356 77.628 130.0713
86.132812 78.266 135.3242
86.469269 79.169 138.5802
86.805725 80.160 139.7064
87.142181 81.115 139.0845
87.478638 81.973 137.2421
87.815094 82.715 134.6630
88.151550 83.354 131.7148
88.488007 83.916 128.6224
88.824463 84.430 125.4607
89.160919 84.922 122.1774
89.497375 85.399 118.6476
89.833832 85.855 114.7466
90.170288 86.270 110.4075
90.506744 86.623 105.6406
90.843201 86.895 100.5194
91.179657 87.075 95.1488
91.516113 87.156 89.6384
91.852570 87.134 84.0879
92.189026 87.009 78.5878
92.525482 86.775 73.2347
92.861938 86.430 68.1523
93.198395 85.969 63.5103
93.534851 85.398 59.5309
93.871307 84.737 56.4724
94.207764 84.023 54.5784
94.544220 83.319 53.9878
94.880676 82.694 54.6364
95.217133 82.208 56.2266
95.553589 81.886 58.3379
95.890045 81.719 60.6133
96.226501 81.688 62.8558
96.562958 81.784 64.9626
96.899414 82.008 66.7965
97.235870 82.356 68.1323
97.572327 82.805 68.7183
97.908783 83.315 68.3790
98.245239 83.841 67.0662
98.581696 84.343 64.8380
98.918152 84.789 61.8102
99.254608 85.157 58.1215
99.591064 85.429 53.9222
99.927521 85.592 49.3802
100.263977 85.637 44.6854
100.600433 85.565 40.0486
100.936890 85.386 35.6852
101.273346 85.123 31.7842
101.609802 84.810 28.4647
101.946259 84.485 25.7354
102.282715 84.182 23.4811
102.619171 83.920 21.5022
102.955627 83.697 19.5951
103.292084 83.496 17.6282
103.628540 83.299 15.5687
103.964996 83.092 13.4587
104.301453 82.867 11.3700
104.637909 82.628 9.3689
104.974365 82.379 7.5023
105.310822 82.129 5.7996
105.647278 81.889 4.2732
105.983734 81.672 2.9049
106.320190 81.492 1.6255
106.656647 81.359 0.3073
106.993103 81.272 -1.2090
107.329559 81.216 -3.0616
107.666016 81.169 -5.3202
108.002472 81.111 -7.9745
108.338928 81.027 -10.9623
108.675385 80.912 -14.2118
109.011841 80.765 -17.6766
109.348297 80.588 -21.3430
109.684753 80.379 -25.2130
110.021210 80.132 -29.2766
110.357666 79.842 -33.4932
110.694122 79.510 -37.7970
111.030579 79.143 -42.1255
111.367035 78.754 -46.4541
111.703491 78.359 -50.8213
112.039948 77.971 -55.3230
112.376404 77.592 -60.0808
112.712860 77.219 -65.1985
113.049316 76.846 -70.7382
113.385773 76.469 -76.7244
113.722229 76.092 -83.1666
114.058685 75.722 -90.0789
114.395142 75.367 -97.4806
114.731598 75.036 -105.3757
115.068054 74.734 -113.7234
115.404510 74.468 -122.4192
115.740967 74.244 -131.2987
116.077423 74.071 -140.1636
116.413879 73.958 -148.8186
116.750336 73.908 -157.1053
117.086792 73.922 -164.9166
117.423248 73.991 -172.1913
117.759705 74.102 -178.8965
118.096161 74.243 174.9843
118.432617 74.404 169.4510
118.769073 74.579 164.4796
119.105530 74.763 160.0206
119.441986 74.949 156.0139
119.778442 75.131 152.4147
120.114899 75.300 149.2155
120.451355 75.454 146.4454
120.787811 75.601 144.1445
121.124268 75.754 142.3243
121.460724 75.933 140.9368
121.797180 76.152 139.8701
122.133636 76.418 138.9779
122.470093 76.726 138.1216
122.806549 77.065 137.2047
123.143005 77.422 136.1851
123.479462 77.785 135.0674
123.815918 78.148 133.8854
124.152374 78.510 132.6792
124.488831 78.876 131.4691
124.825287 79.253 130.2361
125.161743 79.642 128.9214
125.498199 80.039 127.4541
125.834656 80.431 125.7938
126.171112 80.805 123.9646
126.507568 81.150 122.0537
126.844025 81.468 120.1736
127.180481 81.773 118.4031
127.516937 82.085 116.7358
127.853394 82.419 115.0698
128.189850 82.778 113.2533
128.526306 83.146 111.1611
128.862762 83.501 108.7545
129.199219 83.824 106.0872
129.535675 84.105 103.2666
129.872131 84.346 100.3979
130.208588 84.557 97.5387
130.545044 84.748 94.6848
130.881500 84.924 91.7886
131.217957 85.082 88.7990
131.554413 85.213 85.6980
131.890869 85.306 82.5154
132.227325 85.357 79.3168
132.563782 85.367 76.1765
132.900238 85.342 73.1481
133.236694 85.293 70.2452
133.573151 85.226 67.4398
133.909607 85.144 64.6790
134.246063 85.038 61.9156
134.582520 84.899 59.1398
134.918976 84.711 56.3995
135.255432 84.465 53.8049
135.591888 84.159 51.5095
135.928345 83.807 49.6740
136.264801 83.432 48.4131
136.601257 83.066 47.7443
136.937714 82.740 47.5677
137.274170 82.468 47.7079
137.610626 82.245 48.0012
137.947083 82.059 48.3715
138.283539 81.901 48.8330
138.619995 81.774 49.4235
138.956451 81.692 50.1198
139.292908 81.664 50.8032
139.629364 81.686 51.3079
139.965820 81.736 51.5134
140.302277 81.786 51.4111
140.638733 81.816 51.0970
140.975189 81.817 50.7131
141.311646 81.796 50.3796
141.648102 81.764 50.1559
141.984558 81.734 50.0406
142.321014 81.713 50.0002
142.657471 81.703 49.9999
142.993927 81.704 50.0135
143.330383 81.715 50.0189
143.666840 81.735 49.9893
144.003296 81.759 49.9005
144.339752 81.779 49.7491
144.676208 81.788 49.5686
145.012665 81.778 49.4297
145.349121 81.752 49.4279
145.685577 81.718 49.6593
146.022034 81.694 50.1921
146.358490 81.706 51.0303
146.694946 81.779 52.0813
147.031403 81.931 53.1481
