* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 16, 2024 7:50:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: bns-back12-side12-p1-sr
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 77.343 10.0466
10.430145 77.889 6.2357
10.766602 78.521 1.9947
11.103058 79.093 -3.1014
11.439514 79.455 -8.6323
11.775970 79.535 -13.5299
12.112427 79.388 -16.3963
12.448883 79.261 -16.1461
12.785339 79.541 -13.4140
13.121796 80.412 -11.1504
13.458252 81.608 -11.9966
13.794708 82.735 -16.2080
14.131165 83.557 -22.6597
14.467621 83.990 -30.0496
14.804077 84.037 -37.2499
15.140533 83.757 -43.3238
15.476990 83.264 -47.5826
15.813446 82.716 -49.8116
16.149902 82.261 -50.5234
16.486359 81.946 -50.7699
16.822815 81.681 -51.3974
17.159271 81.321 -52.4849
17.495728 80.759 -53.4209
17.832184 79.971 -53.2722
18.168640 79.023 -51.1599
18.505096 78.045 -46.6317
18.841553 77.156 -39.8060
19.178009 76.393 -30.8095
19.514465 75.825 -18.9551
19.850922 75.801 -3.6660
20.187378 76.793 12.2413
20.523834 78.614 23.7356
20.860291 80.591 29.4781
21.196747 82.306 31.2604
21.533203 83.652 31.1424
21.869659 84.677 30.5868
22.206116 85.492 30.4013
22.542572 86.217 30.7647
22.879028 86.920 31.4067
23.215485 87.598 32.0400
23.551941 88.215 32.7676
23.888397 88.780 34.0887
24.224854 89.403 36.4144
24.561310 90.251 39.3334
24.897766 91.397 41.4387
25.234222 92.714 41.3489
25.570679 93.974 38.7258
25.907135 94.991 34.1769
26.243591 95.671 28.7264
26.580048 95.999 23.5179
26.916504 96.043 19.6959
27.252960 95.982 18.1431
27.589417 96.087 18.7972
27.925873 96.571 20.0669
28.262329 97.375 19.7841
28.598785 98.240 16.9419
28.935242 98.925 11.9108
29.271698 99.298 5.6518
29.608154 99.320 -0.7953
29.944611 99.009 -6.4496
30.281067 98.445 -10.4377
30.617523 97.771 -12.1607
30.953979 97.176 -11.6383
31.290436 96.808 -9.7102
31.626892 96.683 -7.5532
31.963348 96.711 -5.8541
32.299805 96.805 -4.6302
32.636261 96.944 -3.6963
32.972717 97.137 -3.0911
33.309174 97.373 -3.0815
33.645630 97.594 -3.8496
33.982086 97.725 -5.2318
34.318542 97.725 -6.7290
34.654999 97.614 -7.7263
34.991455 97.481 -7.8243
35.327911 97.446 -7.1823
35.664368 97.579 -6.5692
36.000824 97.837 -6.8745
36.337280 98.097 -8.5015
36.673737 98.241 -11.2342
37.010193 98.197 -14.4873
37.346649 97.958 -17.5837
37.683105 97.569 -19.9518
38.019562 97.115 -21.2887
38.356018 96.684 -21.6771
38.692474 96.336 -21.5370
39.028931 96.067 -21.3524
39.365387 95.834 -21.3755
39.701843 95.596 -21.5602
40.038300 95.343 -21.7266
40.374756 95.098 -21.7811
40.711212 94.885 -21.8414
41.047668 94.709 -22.1880
41.384125 94.534 -23.0818
41.720581 94.304 -24.5968
42.057037 93.960 -26.5725
42.393494 93.463 -28.6655
42.729950 92.803 -30.4313
43.066406 92.001 -31.4099
43.402863 91.115 -31.2357
43.739319 90.230 -29.7877
44.075775 89.429 -27.3113
44.412231 88.751 -24.3417
44.748688 88.167 -21.3757
45.085144 87.613 -18.5545
45.421600 87.044 -15.6373
45.758057 86.469 -12.2481
46.094513 85.949 -8.2134
46.430969 85.551 -3.7772
46.767426 85.290 0.5269
47.103882 85.117 4.2833
47.440338 84.962 7.4687
47.776794 84.785 10.3614
48.113251 84.592 13.2626
48.449707 84.418 16.2772
48.786163 84.287 19.2987
49.122620 84.197 22.1801
49.459076 84.134 24.9092
49.795532 84.100 27.6017
50.131989 84.126 30.3171
50.468445 84.256 32.8680
50.804901 84.506 34.8252
51.141357 84.844 35.7421
51.477814 85.206 35.3827
51.814270 85.531 33.7566
52.150726 85.773 31.0070
52.487183 85.908 27.2920
52.823639 85.917 22.7338
53.160095 85.783 17.4294
53.496552 85.485 11.4921
53.833008 85.001 5.0904
54.169464 84.317 -1.5306
54.505920 83.428 -8.0495
54.842377 82.352 -14.0908
55.178833 81.135 -19.2808
55.515289 79.857 -23.3570
55.851746 78.619 -26.3106
56.188202 77.508 -28.4507
56.524658 76.564 -30.2275
56.861115 75.775 -31.8767
57.197571 75.123 -33.2085
57.534027 74.643 -33.7691
57.870483 74.438 -33.3112
58.206940 74.622 -32.2574
58.543396 75.211 -31.6075
58.879852 76.094 -32.2196
59.216309 77.105 -34.3005
59.552765 78.112 -37.5398
59.889221 79.042 -41.4610
60.225677 79.865 -45.6369
60.562134 80.578 -49.7586
60.898590 81.190 -53.6317
61.235046 81.717 -57.1537
61.571503 82.173 -60.2884
61.907959 82.570 -63.0442
62.244415 82.917 -65.4534
62.580872 83.219 -67.5518
62.917328 83.477 -69.3591
63.253784 83.692 -70.8684
63.590240 83.869 -72.0507
63.926697 84.018 -72.8779
64.263153 84.155 -73.3567
64.599609 84.296 -73.5558
64.936066 84.452 -73.6059
65.272522 84.621 -73.6640
65.608978 84.787 -73.8563
65.945435 84.927 -74.2345
66.281891 85.019 -74.7636
66.618347 85.046 -75.3408
66.954803 84.999 -75.8274
67.291260 84.881 -76.0803
67.627716 84.701 -75.9772
67.964172 84.477 -75.4357
68.300629 84.226 -74.4261
68.637085 83.965 -72.9745
68.973541 83.703 -71.1448
69.309998 83.441 -68.9980
69.646454 83.172 -66.5387
69.982910 82.888 -63.6819
70.319366 82.598 -60.2716
70.655823 82.334 -56.1694
70.992279 82.144 -51.3881
71.328735 82.075 -46.1836
71.665192 82.138 -40.9824
72.001648 82.299 -36.1477
72.338104 82.502 -31.7780
72.674561 82.705 -27.7015
73.011017 82.901 -23.6393
73.347473 83.121 -19.4146
73.683929 83.407 -15.0957
74.020386 83.779 -10.9744
74.356842 84.218 -7.3759
74.693298 84.675 -4.4517
75.029755 85.100 -2.1151
75.366211 85.466 -0.1250
75.702667 85.771 1.7810
76.039124 86.032 3.7818
76.375580 86.274 5.9376
76.712036 86.510 8.2314
77.048492 86.747 10.6523
77.384949 86.991 13.2471
77.721405 87.261 16.0809
78.057861 87.594 19.1181
78.394318 88.025 22.1169
78.730774 88.559 24.6655
79.067230 89.158 26.3800
79.403687 89.755 27.1063
79.740143 90.282 26.9714
80.076599 90.697 26.2965
80.413055 90.992 25.4670
80.749512 91.189 24.8137
81.085968 91.328 24.5192
81.422424 91.456 24.5670
81.758881 91.605 24.7682
82.095337 91.779 24.8733
82.431793 91.956 24.7044
82.768250 92.110 24.2209
83.104706 92.216 23.4951
83.441162 92.265 22.6420
83.777618 92.258 21.7580
84.114075 92.198 20.8994
84.450531 92.084 20.1012
84.786987 91.914 19.4161
85.123444 91.686 18.9400
85.459900 91.407 18.8015
85.796356 91.096 19.1135
86.132812 90.784 19.9085
86.469269 90.500 21.0952
86.805725 90.261 22.4801
87.142181 90.062 23.8524
87.478638 89.883 25.0772
87.815094 89.697 26.1341
88.151550 89.487 27.0886
88.488007 89.244 28.0358
88.824463 88.968 29.0578
89.160919 88.659 30.2149
89.497375 88.319 31.5635
89.833832 87.950 33.1758
90.170288 87.560 35.1403
90.506744 87.163 37.5344
90.843201 86.783 40.3848
91.179657 86.442 43.6419
91.516113 86.159 47.1893
91.852570 85.941 50.8815
92.189026 85.786 54.5825
92.525482 85.688 58.1785
92.861938 85.637 61.5722
93.198395 85.619 64.6834
93.534851 85.614 67.4684
93.871307 85.601 69.9453
94.207764 85.562 72.2016
94.544220 85.488 74.3729
94.880676 85.384 76.5976
95.217133 85.264 78.9669
95.553589 85.149 81.4911
95.890045 85.053 84.1016
96.226501 84.982 86.6911
96.562958 84.929 89.1660
96.899414 84.885 91.4793
97.235870 84.838 93.6273
97.572327 84.783 95.6242
97.908783 84.715 97.4798
98.245239 84.628 99.1995
98.581696 84.515 100.8002
98.918152 84.366 102.3281
99.254608 84.178 103.8587
99.591064 83.952 105.4762
99.927521 83.695 107.2454
100.263977 83.415 109.1946
100.600433 83.117 111.3260
100.936890 82.804 113.6466
101.273346 82.477 116.1944
101.609802 82.144 119.0315
101.946259 81.822 122.1957
102.282715 81.533 125.6380
102.619171 81.293 129.2023
102.955627 81.097 132.6845
103.292084 80.921 135.9446
103.628540 80.733 138.9884
103.964996 80.507 141.9632
104.301453 80.243 145.0771
104.637909 79.958 148.4913
104.974365 79.681 152.2378
105.310822 79.436 156.2121
105.647278 79.225 160.2533
105.983734 79.033 164.2563
106.320190 78.843 168.2309
106.656647 78.644 172.2724
106.993103 78.442 176.4818
107.329559 78.250 -179.1027
107.666016 78.080 -174.5128
108.002472 77.935 -169.8004
108.338928 77.810 -164.9784
108.675385 77.707 -160.0079
109.011841 77.637 -154.8464
109.348297 77.616 -149.5125
109.684753 77.661 -144.1129
110.021210 77.774 -138.8046
110.357666 77.947 -133.7250
110.694122 78.163 -128.9497
111.030579 78.407 -124.4973
111.367035 78.667 -120.3579
111.703491 78.933 -116.5090
112.039948 79.199 -112.9148
112.376404 79.458 -109.5256
112.712860 79.714 -106.2944
113.049316 79.970 -103.2031
113.385773 80.230 -100.2764
113.722229 80.493 -97.5646
114.058685 80.750 -95.1024
114.395142 80.988 -92.8751
114.731598 81.199 -90.8181
115.068054 81.382 -88.8512
115.404510 81.544 -86.9220
115.740967 81.691 -85.0278
116.077423 81.827 -83.2001
116.413879 81.946 -81.4620
116.750336 82.041 -79.7924
117.086792 82.108 -78.1257
117.423248 82.152 -76.3886
117.759705 82.184 -74.5485
118.096161 82.217 -72.6370
118.432617 82.252 -70.7271
118.769073 82.284 -68.8759
119.105530 82.300 -67.0758
119.441986 82.294 -65.2527
119.778442 82.270 -63.3127
120.114899 82.242 -61.2061
120.451355 82.227 -58.9662
120.787811 82.232 -56.6894
121.124268 82.252 -54.4683
121.460724 82.275 -52.3275
121.797180 82.291 -50.2145
122.133636 82.304 -48.0493
122.470093 82.327 -45.7984
122.806549 82.377 -43.5196
123.143005 82.457 -41.3416
123.479462 82.560 -39.3902
123.815918 82.664 -37.7165
124.152374 82.751 -36.2784
124.488831 82.813 -34.9791
124.825287 82.853 -33.7278
125.161743 82.880 -32.4853
125.498199 82.904 -31.2706
125.834656 82.927 -30.1319
126.171112 82.946 -29.1103
126.507568 82.956 -28.2226
126.844025 82.956 -27.4731
127.180481 82.942 -26.8752
127.516937 82.910 -26.4565
127.853394 82.850 -26.2383
128.189850 82.749 -26.2021
128.526306 82.595 -26.2706
128.862762 82.384 -26.3223
129.199219 82.125 -26.2399
129.535675 81.836 -25.9715
129.872131 81.536 -25.5684
130.208588 81.232 -25.1635
130.545044 80.911 -24.8897
130.881500 80.548 -24.7869
131.217957 80.116 -24.7593
131.554413 79.603 -24.6082
131.890869 79.021 -24.1226
132.227325 78.396 -23.1862
132.563782 77.760 -21.8456
132.900238 77.126 -20.2762
133.236694 76.477 -18.6399
133.573151 75.779 -16.9272
133.909607 75.006 -14.9037
134.246063 74.169 -12.2040
134.582520 73.324 -8.5548
134.918976 72.557 -4.0383
135.255432 71.924 0.8158
135.591888 71.406 5.3208
135.928345 70.910 9.0995
136.264801 70.335 12.2812
136.601257 69.619 15.3582
136.937714 68.752 18.9342
137.274170 67.772 23.5200
137.610626 66.741 29.4212
137.947083 65.726 36.7614
138.283539 64.789 45.6127
138.619995 64.022 55.9988
138.956451 63.556 67.5200
139.292908 63.476 78.9830
139.629364 63.698 88.9525
139.965820 64.009 96.8468
140.302277 64.215 103.1849
140.638733 64.234 109.0511
140.975189 64.110 115.5133
141.311646 63.981 123.1121
141.648102 63.999 131.4895
141.984558 64.200 139.6591
142.321014 64.485 146.9473
142.657471 64.724 153.5636
142.993927 64.877 160.3065
143.330383 65.024 167.8848
143.666840 65.312 176.2800
144.003296 65.833 -175.3722
144.339752 66.532 -168.0452
144.676208 67.280 -162.0207
145.012665 67.983 -156.9056
