* Measurement data measured by REW V5.31.1
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: May 16, 2024 7:50:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: bns-back12-side12-p1-srf
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 81.896 3.0504
10.430145 82.625 -1.8595
10.766602 83.415 -6.7769
11.103058 84.193 -12.0636
11.439514 84.876 -17.5940
11.775970 85.422 -22.8631
12.112427 85.861 -27.2619
12.448883 86.293 -30.4373
12.785339 86.850 -32.6520
13.121796 87.600 -34.8084
13.458252 88.489 -37.8819
13.794708 89.384 -42.2869
14.131165 90.159 -47.7946
14.467621 90.747 -53.8294
14.804077 91.138 -59.7567
15.140533 91.371 -65.0629
15.476990 91.512 -69.4777
15.813446 91.633 -73.0341
16.149902 91.776 -75.9976
16.486359 91.942 -78.6528
16.822815 92.110 -81.1000
17.159271 92.267 -83.2325
17.495728 92.436 -84.9072
17.832184 92.663 -86.1716
18.168640 92.982 -87.3577
18.505096 93.378 -88.9180
18.841553 93.794 -91.1282
19.178009 94.157 -93.9297
19.514465 94.424 -96.9997
19.850922 94.591 -99.9334
20.187378 94.690 -102.4241
20.523834 94.771 -104.3833
20.860291 94.873 -105.9450
21.196747 95.008 -107.3358
21.533203 95.161 -108.7014
21.869659 95.314 -110.0327
22.206116 95.464 -111.2361
22.542572 95.625 -112.2611
22.879028 95.812 -113.1640
23.215485 96.026 -114.0489
23.551941 96.258 -114.9492
23.888397 96.505 -115.7894
24.224854 96.790 -116.5007
24.561310 97.155 -117.2180
24.897766 97.619 -118.3603
25.234222 98.147 -120.4397
25.570679 98.651 -123.7312
25.907135 99.028 -128.0925
26.243591 99.202 -133.0073
26.580048 99.146 -137.7205
26.916504 98.904 -141.4010
27.252960 98.605 -143.4322
27.589417 98.446 -143.9249
27.925873 98.571 -144.0530
28.262329 98.937 -145.4054
28.598785 99.351 -148.8202
28.935242 99.608 -154.0881
29.271698 99.582 -160.4077
29.608154 99.222 -166.7782
29.944611 98.546 -172.1527
30.281067 97.651 -175.5519
30.617523 96.725 -176.4008
30.953979 96.003 -175.1205
31.290436 95.603 -173.2154
31.626892 95.424 -172.1123
31.963348 95.276 -172.0588
32.299805 95.051 -172.3500
32.636261 94.778 -172.1694
32.972717 94.579 -171.3067
33.309174 94.551 -170.4147
33.645630 94.665 -170.4771
33.982086 94.780 -171.9518
34.318542 94.759 -174.5115
34.654999 94.535 -177.3574
34.991455 94.132 -179.6190
35.327911 93.656 179.2825
35.664368 93.252 179.2773
36.000824 93.015 179.5720
36.337280 92.910 179.1891
36.673737 92.813 177.6890
37.010193 92.601 175.3436
37.346649 92.215 172.8376
37.683105 91.678 170.9106
38.019562 91.078 170.0505
38.356018 90.533 170.2341
38.692474 90.127 170.8943
39.028931 89.853 171.3017
39.365387 89.640 171.0705
39.701843 89.419 170.2919
40.038300 89.171 169.2743
40.374756 88.932 168.1913
40.711212 88.746 166.8683
41.047668 88.624 164.8412
41.384125 88.519 161.6465
41.720581 88.347 157.0845
42.057037 88.025 151.2658
42.393494 87.493 144.5005
42.729950 86.722 137.1696
43.066406 85.711 129.6310
43.402863 84.485 122.1479
43.739319 83.088 114.8133
44.075775 81.576 107.4763
44.412231 80.002 99.7173
44.748688 78.405 90.9366
45.085144 76.819 80.5723
45.421600 75.303 68.3992
45.758057 73.970 54.8693
46.094513 72.958 41.3260
46.430969 72.369 29.6491
46.767426 72.237 21.2238
47.103882 72.551 16.0697
47.440338 73.236 13.0105
47.776794 74.129 10.7299
48.113251 75.043 8.6285
48.449707 75.852 6.8505
48.786163 76.524 5.8849
49.122620 77.116 6.1698
49.459076 77.740 7.7678
49.795532 78.504 10.2009
50.131989 79.445 12.6497
50.468445 80.521 14.4321
50.804901 81.660 15.2836
51.141357 82.814 15.2382
51.477814 83.965 14.3633
51.814270 85.109 12.6077
52.150726 86.228 9.8220
52.487183 87.284 5.8807
52.823639 88.224 0.7855
53.160095 88.997 -5.3105
53.496552 89.562 -12.1355
53.833008 89.894 -19.3455
54.169464 89.982 -26.5593
54.505920 89.833 -33.3811
54.842377 89.473 -39.4243
55.178833 88.946 -44.3547
55.515289 88.319 -47.9651
55.851746 87.666 -50.2628
56.188202 87.051 -51.5004
56.524658 86.499 -52.0698
56.861115 85.995 -52.2949
57.197571 85.508 -52.2830
57.534027 85.017 -51.9427
57.870483 84.529 -51.1215
58.206940 84.068 -49.7484
58.543396 83.667 -47.8981
58.879852 83.343 -45.7484
59.216309 83.098 -43.4899
59.552765 82.928 -41.2745
59.889221 82.821 -39.2267
60.225677 82.765 -37.4638
60.562134 82.736 -36.0720
60.898590 82.707 -35.0563
61.235046 82.654 -34.3186
61.571503 82.567 -33.6948
61.907959 82.453 -33.0317
62.244415 82.331 -32.2601
62.580872 82.222 -31.4230
62.917328 82.131 -30.6362
63.253784 82.051 -30.0085
63.590240 81.964 -29.5742
63.926697 81.852 -29.2758
64.263153 81.711 -28.9958
64.599609 81.545 -28.6090
64.936066 81.374 -28.0352
65.272522 81.222 -27.2816
65.608978 81.112 -26.4629
65.945435 81.055 -25.7814
66.281891 81.043 -25.4656
66.618347 81.050 -25.6913
66.954803 81.042 -26.5286
67.291260 80.983 -27.9377
67.627716 80.849 -29.8032
67.964172 80.625 -31.9773
68.300629 80.307 -34.3168
68.637085 79.897 -36.7040
68.973541 79.402 -39.0599
69.309998 78.832 -41.3626
69.646454 78.195 -43.6710
69.982910 77.487 -46.1412
70.319366 76.674 -48.9952
70.655823 75.679 -52.4171
70.992279 74.366 -56.3762
71.328735 72.514 -60.3442
71.665192 69.755 -62.5358
72.001648 65.480 -56.3847
72.338104 61.151 -16.6523
72.674561 65.046 25.2103
73.011017 69.283 30.3705
73.347473 71.880 25.0577
73.683929 73.410 16.6455
74.020386 74.212 7.3951
74.356842 74.491 -1.5873
74.693298 74.414 -9.5728
75.029755 74.158 -16.1215
75.366211 73.914 -21.2609
75.702667 73.849 -25.6549
76.039124 74.027 -30.3646
76.375580 74.407 -36.2296
76.712036 74.903 -43.4897
77.048492 75.453 -51.9158
77.384949 76.039 -61.1212
77.721405 76.665 -70.7767
78.057861 77.342 -80.6857
78.394318 78.064 -90.7623
78.730774 78.810 -100.9651
79.067230 79.545 -111.2402
79.403687 80.235 -121.4962
79.740143 80.850 -131.6135
80.076599 81.372 -141.4670
80.413055 81.792 -150.9504
80.749512 82.110 -159.9945
81.085968 82.333 -168.5778
81.422424 82.469 -176.7292
81.758881 82.524 175.4772
82.095337 82.497 167.9373
82.431793 82.385 160.5358
82.768250 82.174 153.1660
83.104706 81.846 145.7419
83.441162 81.382 138.1978
83.777618 80.759 130.4733
84.114075 79.953 122.4845
84.450531 78.936 114.0769
84.786987 77.672 104.9567
85.123444 76.109 94.5693
85.459900 74.187 81.8488
85.796356 71.886 64.6737
86.132812 69.509 39.2510
86.469269 68.339 3.9605
86.805725 69.439 -29.8986
87.142181 71.488 -52.8938
87.478638 73.382 -67.5781
87.815094 74.930 -77.4158
88.151550 76.211 -84.3240
88.488007 77.330 -89.4407
88.824463 78.361 -93.5906
89.160919 79.334 -97.3980
89.497375 80.248 -101.2760
89.833832 81.088 -105.4418
90.170288 81.836 -109.9786
90.506744 82.478 -114.9041
90.843201 83.000 -120.2084
91.179657 83.386 -125.8579
91.516113 83.616 -131.7789
91.852570 83.670 -137.8419
92.189026 83.530 -143.8557
92.525482 83.185 -149.5710
92.861938 82.630 -154.6936
93.198395 81.875 -158.8995
93.534851 80.937 -161.8542
93.871307 79.849 -163.2256
94.207764 78.652 -162.6780
94.544220 77.402 -159.8293
94.880676 76.193 -154.2173
95.217133 75.196 -145.4652
95.553589 74.681 -133.9607
95.890045 74.872 -121.6267
96.226501 75.713 -111.0988
96.562958 76.917 -103.7977
96.899414 78.216 -99.6364
97.235870 79.462 -97.9399
97.572327 80.592 -98.0500
97.908783 81.587 -99.4745
98.245239 82.442 -101.8666
98.581696 83.159 -104.9795
98.918152 83.744 -108.6318
99.254608 84.198 -112.6837
99.591064 84.523 -117.0174
99.927521 84.718 -121.5184
100.263977 84.784 -126.0604
100.600433 84.720 -130.4951
100.936890 84.533 -134.6533
101.273346 84.237 -138.3600
101.609802 83.858 -141.4639
101.946259 83.431 -143.8813
102.282715 82.994 -145.6378
102.619171 82.580 -146.8800
102.955627 82.204 -147.8350
103.292084 81.860 -148.7244
103.628540 81.526 -149.6832
103.964996 81.177 -150.7268
104.301453 80.795 -151.7733
104.637909 80.374 -152.6965
104.974365 79.922 -153.3807
105.310822 79.456 -153.7644
105.647278 78.995 -153.8621
105.983734 78.554 -153.7593
106.320190 78.136 -153.5741
106.656647 77.734 -153.4049
106.993103 77.333 -153.2832
107.329559 76.924 -153.1609
107.666016 76.504 -152.9368
108.002472 76.087 -152.5198
108.338928 75.699 -151.9016
108.675385 75.363 -151.1992
109.011841 75.090 -150.6257
109.348297 74.864 -150.3900
109.684753 74.658 -150.5900
110.021210 74.442 -151.1736
110.357666 74.204 -151.9875
110.694122 73.953 -152.8746
111.030579 73.714 -153.7742
111.367035 73.511 -154.7679
111.703491 73.355 -156.0399
112.039948 73.232 -157.7651
112.376404 73.117 -160.0049
112.712860 72.982 -162.6765
113.049316 72.820 -165.6038
113.385773 72.639 -168.6033
113.722229 72.464 -171.5674
114.058685 72.323 -174.5042
114.395142 72.232 -177.5171
114.731598 72.194 179.2646
115.068054 72.195 175.7600
115.404510 72.219 171.9647
115.740967 72.249 167.9326
116.077423 72.275 163.7378
116.413879 72.287 159.4500
116.750336 72.277 155.1371
117.086792 72.232 150.8834
117.423248 72.143 146.8066
117.759705 72.006 143.0515
118.096161 71.826 139.7605
118.432617 71.620 137.0287
118.769073 71.406 134.8684
119.105530 71.197 133.2124
119.441986 70.992 131.9644
119.778442 70.781 131.0725
120.114899 70.548 130.5737
120.451355 70.287 130.5817
120.787811 70.002 131.2316
121.124268 69.711 132.6277
121.460724 69.431 134.8354
121.797180 69.185 137.9213
122.133636 69.004 141.9749
122.470093 68.946 147.0168
122.806549 69.089 152.7878
123.143005 69.482 158.6335
123.479462 70.098 163.7537
123.815918 70.843 167.6567
124.152374 71.612 170.3447
124.488831 72.340 172.1385
124.825287 73.009 173.4050
125.161743 73.632 174.3726
125.498199 74.229 175.0819
125.834656 74.802 175.4567
126.171112 75.335 175.4333
126.507568 75.802 175.0566
126.844025 76.183 174.4894
127.180481 76.475 173.9495
127.516937 76.692 173.6228
127.853394 76.858 173.5959
128.189850 76.994 173.8475
128.526306 77.106 174.3097
128.862762 77.187 174.9653
129.199219 77.226 175.9126
129.535675 77.229 177.3483
129.872131 77.229 179.4652
130.208588 77.279 -177.6923
130.545044 77.436 -174.3309
130.881500 77.727 -170.8654
131.217957 78.137 -167.7249
131.554413 78.618 -165.1616
131.890869 79.122 -163.2031
132.227325 79.613 -161.7246
132.563782 80.076 -160.5459
132.900238 80.513 -159.4998
133.236694 80.936 -158.4730
133.573151 81.369 -157.4399
133.909607 81.832 -156.4841
134.246063 82.334 -155.7859
134.582520 82.864 -155.5596
134.918976 83.393 -155.9591
135.255432 83.878 -157.0103
135.591888 84.280 -158.5969
135.928345 84.573 -160.4974
136.264801 84.748 -162.4402
136.601257 84.813 -164.1611
136.937714 84.794 -165.4568
137.274170 84.722 -166.2245
137.610626 84.631 -166.4756
137.947083 84.542 -166.3040
138.283539 84.463 -165.8186
138.619995 84.390 -165.0760
138.956451 84.323 -164.0585
139.292908 84.269 -162.7090
139.629364 84.248 -161.0024
139.965820 84.284 -159.0073
140.302277 84.396 -156.8950
140.638733 84.585 -154.8872
140.975189 84.838 -153.1747
141.311646 85.129 -151.8672
141.648102 85.434 -150.9934
141.984558 85.732 -150.5287
142.321014 86.006 -150.4191
142.657471 86.243 -150.5884
142.993927 86.435 -150.9370
143.330383 86.578 -151.3488
143.666840 86.677 -151.7122
144.003296 86.746 -151.9525
