* Measurement data measured by REW V5.31.3
* Source: Scarlett 2i4 USB, MICROPHONE, L, volume: no control. Timing signal peak level -16.9 dBFS, measurement signal peak level -11.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Aug 8, 2024 4:28:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -1.0449 ms (-358 mm, -(1 ft 2.11 in)) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: screens-p1-1-c
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 43.750 63.9302
10.430145 44.643 49.6546
10.766602 44.772 41.4959
11.103058 45.203 41.6014
11.439514 47.022 43.9516
11.775970 49.685 39.9696
12.112427 52.148 29.7998
12.448883 54.020 16.7058
12.785339 55.255 3.1689
13.121796 55.913 -9.0579
13.458252 56.127 -18.5566
13.794708 56.148 -24.3825
14.131165 56.318 -26.9362
14.467621 56.827 -28.4341
14.804077 57.507 -31.0762
15.140533 58.029 -35.0435
15.476990 58.202 -38.8089
15.813446 58.087 -40.2447
16.149902 58.050 -38.0241
16.486359 58.569 -33.8270
16.822815 59.633 -31.6413
17.159271 60.742 -33.1203
17.495728 61.485 -36.8025
17.832184 61.744 -40.1100
18.168640 61.686 -40.3899
18.505096 61.824 -36.3105
18.841553 62.719 -30.4998
19.178009 64.252 -27.6893
19.514465 65.840 -29.1030
19.850922 67.133 -33.0224
20.187378 68.082 -37.4537
20.523834 68.813 -41.1237
20.860291 69.505 -43.8057
21.196747 70.264 -46.2304
21.533203 71.039 -49.2536
21.869659 71.680 -52.9166
22.206116 72.085 -56.2803
22.542572 72.307 -57.9055
22.879028 72.616 -56.8773
23.215485 73.365 -54.3365
23.551941 74.604 -53.2472
23.888397 75.993 -55.3802
24.224854 77.183 -60.1656
24.561310 78.019 -65.9687
24.897766 78.532 -71.0716
25.234222 78.917 -74.2153
25.570679 79.486 -75.4310
25.907135 80.452 -76.5670
26.243591 81.705 -79.8519
26.580048 82.950 -85.9942
26.916504 83.957 -94.2993
27.252960 84.626 -103.6105
27.589417 84.956 -112.7980
27.925873 85.019 -120.9292
28.262329 84.954 -127.4674
28.598785 84.926 -132.5830
28.935242 85.028 -137.2072
29.271698 85.205 -142.3991
29.608154 85.295 -148.5185
29.944611 85.141 -155.0018
30.281067 84.669 -160.5936
30.617523 83.953 -163.6592
30.953979 83.299 -162.9572
31.290436 83.166 -159.4761
31.626892 83.699 -156.8600
31.963348 84.516 -157.6613
32.299805 85.188 -161.4307
32.636261 85.528 -166.4139
32.972717 85.552 -170.8540
33.309174 85.434 -173.5114
33.645630 85.446 -174.2800
33.982086 85.791 -174.5926
34.318542 86.413 -176.3797
34.654999 87.079 179.5375
34.991455 87.581 173.5833
35.327911 87.820 166.6772
35.664368 87.785 159.7274
36.000824 87.521 153.4439
36.337280 87.105 148.2564
36.673737 86.620 144.2762
37.010193 86.128 141.3649
37.346649 85.652 139.3450
37.683105 85.204 138.1996
38.019562 84.818 138.0334
38.356018 84.572 138.7550
38.692474 84.536 139.7772
39.028931 84.696 140.2020
39.365387 84.937 139.4347
39.701843 85.121 137.5490
40.038300 85.158 135.1481
40.374756 85.031 133.0460
40.711212 84.806 131.9696
41.047668 84.612 132.2400
41.384125 84.592 133.4885
41.720581 84.812 134.7505
42.057037 85.219 135.0753
42.393494 85.694 134.0618
42.729950 86.133 131.8453
43.066406 86.479 128.8011
43.402863 86.715 125.3130
43.739319 86.850 121.6742
44.075775 86.901 118.0679
44.412231 86.889 114.5815
44.748688 86.831 111.2317
45.085144 86.737 107.9962
45.421600 86.607 104.8500
45.758057 86.438 101.7988
46.094513 86.222 98.9001
46.430969 85.961 96.2605
46.767426 85.665 94.0022
47.103882 85.358 92.2022
47.440338 85.069 90.8297
47.776794 84.819 89.7268
48.113251 84.611 88.6698
48.449707 84.419 87.4913
48.786163 84.211 86.1790
49.122620 83.960 84.8854
49.459076 83.663 83.8463
49.795532 83.343 83.2524
50.131989 83.040 83.1318
50.468445 82.782 83.3244
50.804901 82.570 83.5931
51.141357 82.377 83.8063
51.477814 82.172 84.0431
51.814270 81.946 84.5424
52.150726 81.728 85.5369
52.487183 81.567 87.0738
52.823639 81.511 88.9435
53.160095 81.574 90.7935
53.496552 81.738 92.3304
53.833008 81.974 93.4160
54.169464 82.260 93.9991
54.505920 82.581 94.0127
54.842377 82.910 93.3663
55.178833 83.207 92.0373
55.515289 83.427 90.1632
55.851746 83.535 88.0546
56.188202 83.530 86.1218
56.524658 83.445 84.7443
56.861115 83.340 84.1141
57.197571 83.284 84.1273
57.534027 83.312 84.4390
57.870483 83.416 84.7010
58.206940 83.558 84.7887
58.543396 83.718 84.8144
58.879852 83.908 84.9383
59.216309 84.168 85.1367
59.552765 84.529 85.1124
59.889221 84.978 84.4396
60.225677 85.463 82.8265
60.562134 85.915 80.2596
60.898590 86.283 76.9557
61.235046 86.543 73.2283
61.571503 86.700 69.3656
61.907959 86.772 65.5604
62.244415 86.781 61.8933
62.580872 86.745 58.3661
62.917328 86.669 54.9644
63.253784 86.553 51.7140
63.590240 86.403 48.6931
63.926697 86.234 45.9907
64.263153 86.074 43.6317
64.599609 85.953 41.5146
64.936066 85.887 39.4185
65.272522 85.868 37.0945
65.608978 85.868 34.3844
65.945435 85.854 31.2816
66.281891 85.804 27.9036
66.618347 85.714 24.4066
66.954803 85.599 20.8915
67.291260 85.481 17.3386
67.627716 85.375 13.6055
67.964172 85.278 9.4919
68.300629 85.166 4.8352
68.637085 85.010 -0.4246
68.973541 84.780 -6.2405
69.309998 84.459 -12.5011
69.646454 84.044 -19.0905
69.982910 83.544 -25.9421
70.319366 82.978 -33.0769
70.655823 82.361 -40.6136
70.992279 81.710 -48.7540
71.328735 81.034 -57.7468
71.665192 80.347 -67.8494
72.001648 79.675 -79.2889
72.338104 79.068 -92.2112
72.674561 78.605 -106.5901
73.011017 78.376 -122.1090
73.347473 78.451 -138.1207
73.683929 78.842 -153.8176
74.020386 79.494 -168.5425
74.356842 80.318 178.0164
74.693298 81.231 165.8563
75.029755 82.168 154.8015
75.366211 83.089 144.6259
75.702667 83.966 135.1210
76.039124 84.783 126.1227
76.375580 85.533 117.5143
76.712036 86.210 109.2184
77.048492 86.817 101.1814
77.384949 87.356 93.3577
77.721405 87.833 85.6971
78.057861 88.251 78.1420
78.394318 88.609 70.6359
78.730774 88.902 63.1412
79.067230 89.121 55.6591
79.403687 89.257 48.2435
79.740143 89.308 41.0027
80.076599 89.277 34.0844
80.413055 89.182 27.6423
80.749512 89.056 21.7825
81.085968 88.940 16.5004
81.422424 88.874 11.6378
81.758881 88.880 6.9055
82.095337 88.949 1.9871
82.431793 89.048 -3.3348
82.768250 89.134 -9.1068
83.104706 89.169 -15.2174
83.441162 89.132 -21.4630
83.777618 89.023 -27.6238
84.114075 88.852 -33.5288
84.450531 88.642 -39.0966
84.786987 88.408 -44.3370
85.123444 88.157 -49.3084
85.459900 87.883 -54.0427
85.796356 87.574 -58.4822
86.132812 87.227 -62.4652
86.469269 86.859 -65.7790
86.805725 86.516 -68.2760
87.142181 86.259 -70.0160
87.478638 86.141 -71.3380
87.815094 86.175 -72.7578
88.151550 86.325 -74.7283
88.488007 86.529 -77.4614
88.824463 86.730 -80.9272
89.160919 86.888 -84.9663
89.497375 86.981 -89.3941
89.833832 86.997 -94.0466
90.170288 86.923 -98.7682
90.506744 86.746 -103.3657
90.843201 86.458 -107.5602
91.179657 86.064 -110.9637
91.516113 85.602 -113.1160
91.852570 85.164 -113.6376
92.189026 84.886 -112.5316
92.525482 84.899 -110.4704
92.861938 85.239 -108.6248
93.198395 85.818 -107.9827
93.534851 86.498 -108.8829
93.871307 87.170 -111.1378
94.207764 87.774 -114.3703
94.544220 88.292 -118.2335
94.880676 88.722 -122.4836
95.217133 89.068 -126.9683
95.553589 89.331 -131.5811
95.890045 89.510 -136.2153
96.226501 89.605 -140.7385
96.562958 89.622 -144.9944
96.899414 89.579 -148.8320
97.235870 89.503 -152.1509
97.572327 89.427 -154.9456
97.908783 89.380 -157.3190
98.245239 89.377 -159.4481
98.581696 89.417 -161.5098
98.918152 89.486 -163.6135
99.254608 89.570 -165.7832
99.591064 89.658 -167.9873
99.927521 89.750 -170.1897
100.263977 89.851 -172.3862
100.600433 89.961 -174.6074
100.936890 90.078 -176.8928
101.273346 90.193 -179.2587
101.609802 90.300 178.3177
101.946259 90.396 175.8846
102.282715 90.482 173.4858
102.619171 90.567 171.1318
102.955627 90.655 168.7922
103.292084 90.745 166.4155
103.628540 90.831 163.9669
103.964996 90.901 161.4584
104.301453 90.949 158.9552
104.637909 90.975 156.5503
104.974365 90.992 154.3201
105.310822 91.019 152.2782
105.647278 91.072 150.3545
105.983734 91.160 148.4141
106.320190 91.281 146.3123
106.656647 91.417 143.9517
106.993103 91.551 141.3073
107.329559 91.670 138.4104
107.666016 91.766 135.3083
108.002472 91.840 132.0273
108.338928 91.889 128.5574
108.675385 91.908 124.8701
109.011841 91.883 120.9526
109.348297 91.798 116.8414
109.684753 91.638 112.6362
110.021210 91.394 108.4885
110.357666 91.072 104.5684
110.694122 90.687 101.0183
111.030579 90.264 97.9097
111.367035 89.828 95.2172
111.703491 89.397 92.8362
112.039948 88.973 90.6382
112.376404 88.547 88.5367
112.712860 88.109 86.5183
113.049316 87.652 84.6211
113.385773 87.179 82.8795
113.722229 86.696 81.2756
114.058685 86.204 79.7358
114.395142 85.691 78.1816
114.731598 85.132 76.6052
115.068054 84.504 75.1125
115.404510 83.795 73.9065
115.740967 83.011 73.2089
116.077423 82.176 73.1577
116.413879 81.315 73.7410
116.750336 80.427 74.8533
117.086792 79.477 76.4968
117.423248 78.417 79.0294
117.759705 77.238 83.2928
118.096161 76.055 90.4116
118.432617 75.167 100.8646
118.769073 74.905 113.0812
119.105530 75.265 124.1462
119.441986 75.934 132.6711
119.778442 76.665 139.2188
120.114899 77.409 144.7317
120.451355 78.221 149.5542
120.787811 79.131 153.4099
121.124268 80.099 155.9163
121.460724 81.040 157.0243
121.797180 81.887 157.0428
122.133636 82.616 156.4210
122.470093 83.241 155.5422
122.806549 83.794 154.6172
123.143005 84.309 153.6787
123.479462 84.805 152.6539
123.815918 85.284 151.4641
124.152374 85.742 150.0831
124.488831 86.178 148.5259
124.825287 86.595 146.7960
125.161743 86.998 144.8466
125.498199 87.380 142.5927
125.834656 87.726 139.9695
126.171112 88.009 136.9965
126.507568 88.205 133.8035
126.844025 88.303 130.6102
127.180481 88.310 127.6670
127.516937 88.256 125.1736
127.853394 88.183 123.1951
128.189850 88.132 121.6135
128.526306 88.126 120.1643
128.862762 88.153 118.5647
129.199219 88.181 116.6534
129.535675 88.169 114.4530
129.872131 88.091 112.1354
130.208588 87.939 109.9363
130.545044 87.729 108.0627
130.881500 87.491 106.6194
131.217957 87.254 105.5774
131.554413 87.036 104.8042
131.890869 86.839 104.1458
132.227325 86.646 103.5125
132.563782 86.439 102.9189
132.900238 86.207 102.4656
133.236694 85.950 102.2875
133.573151 85.681 102.5049
133.909607 85.423 103.1885
134.246063 85.200 104.3411
134.582520 85.040 105.8879
134.918976 84.963 107.6743
135.255432 84.978 109.4861
135.591888 85.075 111.1056
135.928345 85.232 112.3853
136.264801 85.422 113.2876
136.601257 85.625 113.8652
136.937714 85.835 114.1924
137.274170 86.055 114.2971
137.610626 86.286 114.1384
137.947083 86.521 113.6429
138.283539 86.740 112.7770
138.619995 86.922 111.5964
138.956451 87.052 110.2421
139.292908 87.133 108.8840
139.629364 87.179 107.6475
139.965820 87.215 106.5559
140.302277 87.256 105.5295
140.638733 87.306 104.4431
140.975189 87.351 103.2100
141.311646 87.375 101.8337
141.648102 87.366 100.3958
141.984558 87.324 99.0024
142.321014 87.257 97.7261
142.657471 87.177 96.5796
142.993927 87.092 95.5341
143.330383 87.000 94.5608
143.666840 86.901 93.6616
144.003296 86.795 92.8616
144.339752 86.690 92.1746
144.676208 86.591 91.5717
145.012665 86.503 90.9880
