* Measurement data measured by REW V5.31.3
* Source: Scarlett 2i4 USB, MICROPHONE, L, volume: no control. Timing signal peak level -16.7 dBFS, measurement signal peak level -15.9 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Aug 8, 2024 4:27:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0557 ms (-19 mm, -0.75 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: L screens-p1-1
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 28.224 68.0951
10.430145 34.784 105.7920
10.766602 39.780 94.0555
11.103058 42.532 74.9838
11.439514 43.986 55.7570
11.775970 44.528 39.4814
12.112427 44.502 29.0937
12.448883 44.642 26.5833
12.785339 45.882 27.8095
13.121796 47.969 24.6244
13.458252 49.915 15.4057
13.794708 51.191 2.6667
14.131165 51.609 -11.1078
14.467621 51.051 -23.6013
14.804077 49.391 -31.1953
15.140533 46.937 -25.7829
15.476990 46.549 -2.3178
15.813446 49.532 11.0158
16.149902 52.359 8.1784
16.486359 54.136 -0.9402
16.822815 54.980 -11.5535
17.159271 55.055 -21.2004
17.495728 54.541 -27.9015
17.832184 53.754 -29.7690
18.168640 53.276 -26.3325
18.505096 53.629 -20.9508
18.841553 54.626 -18.2830
19.178009 55.708 -19.3209
19.514465 56.549 -22.4460
19.850922 57.096 -25.7499
20.187378 57.460 -27.7639
20.523834 57.872 -27.8451
20.860291 58.577 -26.7244
21.196747 59.643 -26.2457
21.533203 60.894 -27.8296
21.869659 62.087 -31.5448
22.206116 63.066 -36.5582
22.542572 63.790 -41.8119
22.879028 64.309 -46.4097
23.215485 64.734 -49.8841
23.551941 65.183 -52.3850
23.888397 65.708 -54.5256
24.224854 66.262 -56.7918
24.561310 66.769 -59.0514
24.897766 67.223 -60.6590
25.234222 67.744 -61.1117
25.570679 68.517 -60.9003
25.907135 69.605 -61.5966
26.243591 70.853 -64.5943
26.580048 72.017 -70.0831
26.916504 72.923 -77.3099
27.252960 73.498 -85.1814
27.589417 73.757 -92.5905
27.925873 73.804 -98.6197
28.262329 73.820 -102.9009
28.598785 73.994 -106.0644
28.935242 74.377 -109.5578
29.271698 74.827 -114.5455
29.608154 75.130 -121.1137
29.944611 75.119 -128.4267
30.281067 74.724 -135.1140
30.617523 74.004 -139.4772
30.953979 73.235 -139.9879
31.290436 72.912 -137.0228
31.626892 73.314 -134.1929
31.963348 74.106 -134.9162
32.299805 74.780 -139.2978
32.636261 75.051 -145.6178
32.972717 74.841 -151.8634
33.309174 74.220 -156.0029
33.645630 73.465 -156.2210
33.982086 73.095 -152.4199
34.318542 73.495 -147.9767
34.654999 74.414 -146.7956
34.991455 75.341 -149.4786
35.327911 75.984 -154.5868
35.664368 76.269 -160.5369
36.000824 76.231 -166.1175
36.337280 75.962 -170.5266
36.673737 75.581 -173.4082
37.010193 75.192 -174.8671
37.346649 74.845 -175.2708
37.683105 74.533 -174.8475
38.019562 74.243 -173.4331
38.356018 74.024 -170.6660
38.692474 73.998 -166.5432
39.028931 74.271 -161.8148
39.365387 74.826 -157.5500
39.701843 75.549 -154.2529
40.038300 76.349 -151.6760
40.374756 77.235 -149.3995
40.711212 78.281 -147.4642
41.047668 79.526 -146.5131
41.384125 80.916 -147.3130
41.720581 82.328 -150.2023
42.057037 83.647 -155.0094
42.393494 84.799 -161.2928
42.729950 85.752 -168.5652
43.066406 86.502 -176.4015
43.402863 87.062 175.5316
43.739319 87.451 167.4791
44.075775 87.692 159.6136
44.412231 87.803 152.0597
44.748688 87.802 144.9195
45.085144 87.707 138.2963
45.421600 87.538 132.3018
45.758057 87.322 127.0381
46.094513 87.098 122.5502
46.430969 86.907 118.7668
46.767426 86.783 115.4767
47.103882 86.737 112.3843
47.440338 86.753 109.2332
47.776794 86.799 105.9146
48.113251 86.847 102.4848
48.449707 86.886 99.0964
48.786163 86.931 95.8890
49.122620 87.009 92.8989
49.459076 87.147 90.0261
49.795532 87.361 87.0775
50.131989 87.650 83.8473
50.468445 88.005 80.1676
50.804901 88.417 75.8985
51.141357 88.873 70.8891
51.477814 89.354 64.9678
51.814270 89.826 57.9815
52.150726 90.245 49.8536
52.487183 90.564 40.6188
52.823639 90.739 30.4206
53.160095 90.733 19.4845
53.496552 90.523 8.0903
53.833008 90.097 -3.4498
54.169464 89.456 -14.8053
54.505920 88.615 -25.6467
54.842377 87.609 -35.6802
55.178833 86.488 -44.7109
55.515289 85.314 -52.7242
55.851746 84.138 -59.9280
56.188202 82.981 -66.6772
56.524658 81.822 -73.2779
56.861115 80.624 -79.8065
57.197571 79.362 -86.0923
57.534027 78.064 -91.9023
57.870483 76.806 -97.2822
58.206940 75.673 -102.8738
58.543396 74.677 -109.8520
58.879852 73.723 -119.4113
59.216309 72.681 -132.3603
59.552765 71.470 -149.1952
59.889221 70.149 -170.2777
60.225677 68.973 164.5513
60.562134 68.309 137.1381
60.898590 68.308 111.0896
61.235046 68.759 89.1923
61.571503 69.389 71.8699
61.907959 70.060 58.1548
62.244415 70.723 46.7819
62.580872 71.338 36.7197
62.917328 71.858 27.3941
63.253784 72.243 18.6968
63.590240 72.489 10.8384
63.926697 72.637 4.1352
64.263153 72.778 -1.2390
64.599609 73.016 -5.4844
64.936066 73.424 -9.2226
65.272522 73.997 -13.2076
65.608978 74.663 -17.9138
65.945435 75.333 -23.3747
66.281891 75.949 -29.3118
66.618347 76.489 -35.3381
66.954803 76.968 -41.1127
67.291260 77.422 -46.4335
67.627716 77.892 -51.2806
67.964172 78.413 -55.8007
68.300629 78.994 -60.2284
68.637085 79.626 -64.7783
68.973541 80.284 -69.5692
69.309998 80.943 -74.6135
69.646454 81.588 -79.8549
69.982910 82.213 -85.2211
70.319366 82.819 -90.6653
70.655823 83.412 -96.1849
70.992279 83.994 -101.8199
71.328735 84.564 -107.6329
71.665192 85.113 -113.6830
72.001648 85.625 -119.9990
72.338104 86.085 -126.5620
72.674561 86.475 -133.2994
73.011017 86.786 -140.0905
73.347473 87.016 -146.7826
73.683929 87.175 -153.2217
74.020386 87.283 -159.2942
74.356842 87.373 -164.9758
74.693298 87.473 -170.3660
75.029755 87.601 -175.6750
75.366211 87.752 178.8438
75.702667 87.901 172.9901
76.039124 88.010 166.6820
76.375580 88.044 159.9595
76.712036 87.975 152.9441
77.048492 87.788 145.7821
77.384949 87.477 138.5977
77.721405 87.038 131.4662
78.057861 86.462 124.4158
78.394318 85.728 117.4540
78.730774 84.801 110.6151
79.067230 83.623 104.0154
79.403687 82.111 97.9159
79.740143 80.140 92.8413
80.076599 77.496 89.9391
80.413055 73.776 92.4778
80.749512 68.655 113.6096
81.085968 68.104 170.3704
81.422424 73.126 -164.5665
81.758881 76.869 -160.3467
82.095337 79.513 -161.9080
82.431793 81.480 -165.6093
82.768250 82.995 -170.2074
83.104706 84.189 -175.1078
83.441162 85.154 -179.9874
83.777618 85.966 175.2856
84.114075 86.681 170.6793
84.450531 87.331 166.0535
84.786987 87.920 161.2563
85.123444 88.434 156.2195
85.459900 88.854 151.0039
85.796356 89.167 145.7826
86.132812 89.379 140.7805
86.469269 89.515 136.1963
86.805725 89.613 132.1226
87.142181 89.716 128.4944
87.478638 89.854 125.1011
87.815094 90.028 121.6763
88.151550 90.220 118.0182
88.488007 90.399 114.0630
88.824463 90.539 109.8781
89.160919 90.630 105.6016
89.497375 90.675 101.3679
89.833832 90.692 97.2487
90.170288 90.698 93.2246
90.506744 90.705 89.1975
90.843201 90.710 85.0391
91.179657 90.699 80.6501
91.516113 90.650 76.0039
91.852570 90.542 71.1567
92.189026 90.358 66.2310
92.525482 90.092 61.3855
92.861938 89.750 56.7822
93.198395 89.345 52.5558
93.534851 88.900 48.7866
93.871307 88.437 45.4880
94.207764 87.976 42.6085
94.544220 87.530 40.0574
94.880676 87.103 37.7407
95.217133 86.695 35.5897
95.553589 86.303 33.5660
95.890045 85.928 31.6439
96.226501 85.572 29.7847
96.562958 85.239 27.9222
96.899414 84.923 25.9738
97.235870 84.614 23.8711
97.572327 84.297 21.5922
97.908783 83.958 19.1724
98.245239 83.590 16.6869
98.581696 83.195 14.2126
98.918152 82.781 11.7866
99.254608 82.358 9.3833
99.591064 81.927 6.9270
99.927521 81.479 4.3403
100.263977 80.997 1.5999
100.600433 80.460 -1.2294
100.936890 79.855 -4.0007
101.273346 79.185 -6.5259
101.609802 78.465 -8.6346
101.946259 77.728 -10.2355
102.282715 77.008 -11.3530
102.619171 76.334 -12.1262
102.955627 75.724 -12.7654
103.292084 75.178 -13.4977
103.628540 74.687 -14.5265
103.964996 74.232 -16.0068
104.301453 73.791 -18.0220
104.637909 73.342 -20.5652
104.974365 72.880 -23.5535
105.310822 72.421 -26.8903
105.647278 72.005 -30.5702
105.983734 71.684 -34.7678
106.320190 71.495 -39.8168
106.656647 71.448 -46.0454
106.993103 71.526 -53.5675
107.329559 71.709 -62.1860
107.666016 71.992 -71.4547
108.002472 72.385 -80.8466
108.338928 72.907 -89.9441
108.675385 73.570 -98.5739
109.011841 74.364 -106.8131
109.348297 75.246 -114.8597
109.684753 76.153 -122.8639
110.021210 77.020 -130.8323
110.357666 77.800 -138.6370
110.694122 78.472 -146.0804
111.030579 79.037 -152.9728
111.367035 79.517 -159.1957
111.703491 79.942 -164.7406
112.039948 80.340 -169.7046
112.376404 80.723 -174.2428
112.712860 81.094 -178.4987
113.049316 81.445 177.4447
113.385773 81.770 173.5688
113.722229 82.068 169.8875
114.058685 82.342 166.4093
114.395142 82.599 163.1198
114.731598 82.841 159.9885
115.068054 83.068 156.9906
115.404510 83.280 154.1193
115.740967 83.476 151.3810
116.077423 83.660 148.7794
116.413879 83.834 146.3044
116.750336 83.999 143.9358
117.086792 84.155 141.6611
117.423248 84.300 139.4886
117.759705 84.435 137.4423
118.096161 84.565 135.5371
118.432617 84.700 133.7524
118.769073 84.843 132.0248
119.105530 84.993 130.2712
119.441986 85.138 128.4358
119.778442 85.262 126.5261
120.114899 85.352 124.6208
120.451355 85.407 122.8447
120.787811 85.436 121.3201
121.124268 85.460 120.1171
121.460724 85.503 119.2174
121.797180 85.587 118.5117
122.133636 85.719 117.8363
122.470093 85.893 117.0350
122.806549 86.092 116.0114
123.143005 86.298 114.7471
123.479462 86.500 113.2839
123.815918 86.693 111.6825
124.152374 86.879 109.9806
124.488831 87.065 108.1680
124.825287 87.251 106.1912
125.161743 87.430 103.9884
125.498199 87.585 101.5350
125.834656 87.700 98.8765
126.171112 87.759 96.1292
126.507568 87.762 93.4507
126.844025 87.720 90.9897
127.180481 87.654 88.8308
127.516937 87.591 86.9562
127.853394 87.549 85.2513
128.189850 87.530 83.5592
128.526306 87.522 81.7566
128.862762 87.506 79.8070
129.199219 87.464 77.7609
129.535675 87.389 75.7145
129.872131 87.286 73.7570
130.208588 87.164 71.9313
130.545044 87.031 70.2274
130.881500 86.893 68.6072
131.217957 86.746 67.0417
131.554413 86.588 65.5354
131.890869 86.419 64.1196
132.227325 86.244 62.8217
132.563782 86.074 61.6272
132.900238 85.917 60.4663
133.236694 85.771 59.2368
133.573151 85.624 57.8561
133.909607 85.455 56.3090
134.246063 85.249 54.6655
134.582520 84.994 53.0586
134.918976 84.697 51.6355
135.255432 84.374 50.4989
135.591888 84.049 49.6593
135.928345 83.740 49.0229
136.264801 83.452 48.4288
136.601257 83.171 47.7246
136.937714 82.869 46.8417
137.274170 82.513 45.8346
137.610626 82.074 44.8812
137.947083 81.539 44.2560
138.283539 80.916 44.2867
138.619995 80.237 45.2837
138.956451 79.562 47.4299
139.292908 78.961 50.6582
139.629364 78.484 54.6277
139.965820 78.129 58.9175
140.302277 77.853 63.3434
140.638733 77.621 68.1174
140.975189 77.456 73.6804
141.311646 77.470 80.2260
141.648102 77.797 87.1741
141.984558 78.471 93.2426
142.321014 79.370 97.3293
142.657471 80.311 99.1769
142.993927 81.155 99.2090
143.330383 81.833 98.0929
143.666840 82.331 96.4703
144.003296 82.675 94.8507
