* Measurement data measured by REW V5.31.3
* Source: Scarlett 2i4 USB, MICROPHONE, L, volume: no control. Timing signal peak level -17.0 dBFS, measurement signal peak level -14.7 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Aug 8, 2024 4:27:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.1796 ms (-62 mm, -2.43 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: screens-p1-1-r
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 33.803 -49.5150
10.430145 39.452 -16.6287
10.766602 43.410 -15.9797
11.103058 45.285 -20.9040
11.439514 45.690 -24.6116
11.775970 45.049 -22.3156
12.112427 44.430 -8.8977
12.448883 45.771 9.6977
12.785339 48.496 18.1483
13.121796 50.895 16.5352
13.458252 52.491 9.7554
13.794708 53.266 0.7326
14.131165 53.259 -8.7417
14.467621 52.503 -16.9955
14.804077 51.092 -21.7112
15.140533 49.453 -19.7753
15.476990 48.677 -11.2032
15.813446 49.366 -4.7734
16.149902 50.523 -6.5662
16.486359 51.269 -14.3735
16.822815 51.328 -24.5543
17.159271 50.639 -33.7342
17.495728 49.290 -37.5708
17.832184 48.055 -30.3252
18.168640 48.852 -15.3006
18.505096 51.464 -8.4261
18.841553 54.017 -11.0692
19.178009 55.905 -17.8013
19.514465 57.128 -25.1061
19.850922 57.833 -30.8579
20.187378 58.266 -33.7052
20.523834 58.776 -33.5190
20.860291 59.645 -32.0991
21.196747 60.818 -31.9974
21.533203 61.995 -34.2404
21.869659 62.922 -38.1136
22.206116 63.511 -42.1969
22.542572 63.834 -45.0731
22.879028 64.105 -45.9129
23.215485 64.597 -45.2553
23.551941 65.413 -44.9754
23.888397 66.383 -46.6007
24.224854 67.255 -50.0728
24.561310 67.891 -54.1927
24.897766 68.331 -57.4907
25.234222 68.789 -59.0593
25.570679 69.547 -59.5137
25.907135 70.699 -60.9519
26.243591 72.040 -65.0761
26.580048 73.282 -71.9685
26.916504 74.238 -80.6774
27.252960 74.839 -89.9983
27.589417 75.105 -98.7821
27.925873 75.137 -106.0803
28.262329 75.113 -111.4524
28.598785 75.230 -115.4265
28.935242 75.561 -119.4311
29.271698 75.982 -124.7477
29.608154 76.276 -131.6049
29.944611 76.264 -139.2538
30.281067 75.862 -146.3699
30.617523 75.109 -151.2690
30.953979 74.247 -152.3087
31.290436 73.758 -149.4514
31.626892 73.988 -145.9332
31.963348 74.671 -145.3840
32.299805 75.299 -148.1372
32.636261 75.593 -152.3536
32.972717 75.536 -155.8211
33.309174 75.346 -156.7630
33.645630 75.426 -154.9788
33.982086 76.080 -152.8644
34.318542 77.161 -153.4184
34.654999 78.284 -157.4516
34.991455 79.188 -164.0503
35.327911 79.778 -171.9837
35.664368 80.055 179.7448
36.000824 80.067 171.8307
36.337280 79.876 164.6995
36.673737 79.548 158.5497
37.010193 79.135 153.4333
37.346649 78.673 149.3830
37.683105 78.200 146.5124
38.019562 77.786 144.9560
38.356018 77.539 144.5894
38.692474 77.562 144.7298
39.028931 77.872 144.2838
39.365387 78.377 142.3781
39.701843 78.948 138.7690
40.038300 79.493 133.6845
40.374756 79.977 127.4677
40.711212 80.404 120.3398
41.047668 80.787 112.3336
41.384125 81.130 103.3513
41.720581 81.420 93.2759
42.057037 81.632 82.0648
42.393494 81.740 69.7856
42.729950 81.729 56.6033
43.066406 81.598 42.7502
43.402863 81.358 28.4996
43.739319 81.033 14.1480
44.075775 80.655 0.0024
44.412231 80.259 -13.6348
44.748688 79.883 -26.4839
45.085144 79.560 -38.3110
45.421600 79.317 -48.9537
45.758057 79.183 -58.3516
46.094513 79.179 -66.5790
46.430969 79.315 -73.8555
46.767426 79.581 -80.4954
47.103882 79.940 -86.7893
47.440338 80.338 -92.8727
47.776794 80.725 -98.6672
48.113251 81.078 -103.9229
48.449707 81.409 -108.3434
48.786163 81.772 -111.7634
49.122620 82.236 -114.3075
49.459076 82.849 -116.4032
49.795532 83.611 -118.5753
50.131989 84.485 -121.1849
50.468445 85.431 -124.3582
50.804901 86.427 -128.1212
51.141357 87.468 -132.5623
51.477814 88.540 -137.8749
51.814270 89.610 -144.2697
52.150726 90.625 -151.8514
52.487183 91.528 -160.5633
52.823639 92.270 -170.2092
53.160095 92.819 179.4906
53.496552 93.155 168.8512
53.833008 93.277 158.1920
54.169464 93.191 147.8201
54.505920 92.917 138.0156
54.842377 92.488 129.0126
55.178833 91.942 120.9730
55.515289 91.324 113.9599
55.851746 90.676 107.9271
56.188202 90.030 102.7434
56.524658 89.402 98.2469
56.861115 88.797 94.3016
57.197571 88.213 90.8212
57.534027 87.650 87.7567
57.870483 87.106 85.0756
58.206940 86.581 82.7569
58.543396 86.077 80.8015
58.879852 85.596 79.2327
59.216309 85.154 78.0622
59.552765 84.768 77.2341
59.889221 84.456 76.5948
60.225677 84.216 75.9333
60.562134 84.030 75.0781
60.898590 83.869 73.9741
61.235046 83.712 72.6826
61.571503 83.553 71.3109
61.907959 83.397 69.9322
62.244415 83.257 68.5416
62.580872 83.137 67.0730
62.917328 83.035 65.4532
63.253784 82.938 63.6476
63.590240 82.839 61.6670
63.926697 82.731 59.5447
64.263153 82.611 57.3134
64.599609 82.476 55.0048
64.936066 82.325 52.6644
65.272522 82.159 50.3592
65.608978 81.987 48.1559
65.945435 81.828 46.0719
66.281891 81.701 44.0287
66.618347 81.615 41.8556
66.954803 81.561 39.3577
67.291260 81.510 36.4120
67.627716 81.432 33.0238
67.964172 81.300 29.3151
68.300629 81.108 25.4605
68.637085 80.863 21.6106
68.973541 80.585 17.8354
69.309998 80.290 14.1138
69.646454 79.984 10.3814
69.982910 79.662 6.6146
70.319366 79.316 2.8982
70.655823 78.956 -0.5751
70.992279 78.621 -3.5984
71.328735 78.382 -6.1332
71.665192 78.318 -8.4907
72.001648 78.467 -11.3207
72.338104 78.793 -15.3073
72.674561 79.206 -20.8114
73.011017 79.607 -27.7645
73.347473 79.925 -35.7922
73.683929 80.123 -44.3778
74.020386 80.199 -52.9742
74.356842 80.181 -61.0764
74.693298 80.126 -68.2983
75.029755 80.112 -74.4719
75.366211 80.218 -79.7338
75.702667 80.493 -84.5001
76.039124 80.939 -89.2819
76.375580 81.515 -94.4592
76.712036 82.165 -100.1862
77.048492 82.842 -106.4447
77.384949 83.513 -113.1454
77.721405 84.158 -120.1949
78.057861 84.759 -127.5127
78.394318 85.303 -135.0205
78.730774 85.779 -142.6309
79.067230 86.178 -150.2461
79.403687 86.499 -157.7712
79.740143 86.744 -165.1321
80.076599 86.917 -172.2848
80.413055 87.020 -179.2126
80.749512 87.051 174.0946
81.085968 87.007 167.6663
81.422424 86.882 161.5688
81.758881 86.677 155.9016
82.095337 86.400 150.7683
82.431793 86.065 146.2349
82.768250 85.688 142.3016
83.104706 85.275 138.9221
83.441162 84.815 136.0862
83.777618 84.290 133.9324
84.114075 83.692 132.8212
84.450531 83.064 133.2830
84.786987 82.523 135.7344
85.123444 82.252 139.9395
85.459900 82.379 144.6953
85.796356 82.864 148.4963
86.132812 83.536 150.5891
86.469269 84.243 151.1218
86.805725 84.913 150.6017
87.142181 85.541 149.4426
87.478638 86.144 147.8103
87.815094 86.729 145.6826
88.151550 87.284 143.0034
88.488007 87.784 139.8059
88.824463 88.210 136.2371
89.160919 88.556 132.4983
89.497375 88.836 128.7517
89.833832 89.075 125.0496
90.170288 89.290 121.3181
90.506744 89.481 117.4180
90.843201 89.628 113.2454
91.179657 89.700 108.8176
91.516113 89.670 104.2954
91.852570 89.523 99.9501
92.189026 89.270 96.0936
92.525482 88.946 92.9911
92.861938 88.605 90.7637
93.198395 88.303 89.3232
93.534851 88.080 88.3956
93.871307 87.941 87.6539
94.207764 87.866 86.8733
94.544220 87.829 85.9919
94.880676 87.815 85.0569
95.217133 87.824 84.1251
95.553589 87.865 83.1936
95.890045 87.946 82.1942
96.226501 88.063 81.0361
96.562958 88.209 79.6509
96.899414 88.374 78.0063
97.235870 88.552 76.0864
97.572327 88.738 73.8665
97.908783 88.925 71.3057
98.245239 89.101 68.3623
98.581696 89.252 65.0195
98.918152 89.360 61.3013
99.254608 89.409 57.2725
99.591064 89.388 53.0277
99.927521 89.291 48.6755
100.263977 89.117 44.3250
100.600433 88.869 40.0792
100.936890 88.553 36.0319
101.273346 88.179 32.2648
101.609802 87.758 28.8434
101.946259 87.307 25.8093
102.282715 86.843 23.1702
102.619171 86.383 20.8894
102.955627 85.942 18.8856
103.292084 85.527 17.0441
103.628540 85.134 15.2454
103.964996 84.752 13.4026
104.301453 84.365 11.4951
104.637909 83.957 9.5807
104.974365 83.523 7.7784
105.310822 83.074 6.2179
105.647278 82.633 4.9646
105.983734 82.233 3.9512
106.320190 81.893 2.9641
106.656647 81.612 1.7206
106.993103 81.358 -0.0011
107.329559 81.091 -2.2686
107.666016 80.776 -4.9974
108.002472 80.395 -8.0292
108.338928 79.949 -11.2308
108.675385 79.452 -14.5725
109.011841 78.911 -18.1481
109.348297 78.316 -22.1274
109.684753 77.640 -26.6648
110.021210 76.838 -31.8208
110.357666 75.868 -37.5397
110.694122 74.696 -43.6841
111.030579 73.310 -50.1093
111.367035 71.723 -56.7728
111.703491 69.986 -63.8937
112.039948 68.188 -72.1437
112.376404 66.486 -82.7485
112.712860 65.145 -97.0891
113.049316 64.560 -115.2371
113.385773 64.980 -134.5043
113.722229 66.177 -151.4193
114.058685 67.691 -164.7456
114.395142 69.213 -175.0247
114.731598 70.618 176.8553
115.068054 71.875 170.1877
115.404510 72.987 164.4923
115.740967 73.963 159.4706
116.077423 74.816 154.9581
116.413879 75.560 150.8722
116.750336 76.217 147.1547
117.086792 76.805 143.7240
117.423248 77.338 140.4623
117.759705 77.816 137.2466
118.096161 78.226 134.0127
118.432617 78.549 130.8060
118.769073 78.774 127.7921
119.105530 78.907 125.2084
119.441986 78.981 123.2695
119.778442 79.047 122.0453
120.114899 79.159 121.3719
120.451355 79.343 120.8911
120.787811 79.582 120.2349
121.124268 79.829 119.2271
121.460724 80.038 117.9487
121.797180 80.183 116.6561
122.133636 80.273 115.6364
122.470093 80.341 115.0756
122.806549 80.431 114.9822
123.143005 80.577 115.1984
123.479462 80.793 115.4875
123.815918 81.075 115.6321
124.152374 81.406 115.4719
124.488831 81.769 114.8912
124.825287 82.139 113.8068
125.161743 82.485 112.1929
125.498199 82.773 110.1205
125.834656 82.976 107.7720
126.171112 83.085 105.4088
126.507568 83.109 103.3014
126.844025 83.084 101.6344
127.180481 83.052 100.4241
127.516937 83.045 99.5054
127.853394 83.068 98.6294
128.189850 83.098 97.6257
128.526306 83.100 96.5111
128.862762 83.054 95.4751
129.199219 82.969 94.7659
129.535675 82.879 94.5402
129.872131 82.830 94.7511
130.208588 82.851 95.1519
130.545044 82.939 95.4375
130.881500 83.061 95.4224
131.217957 83.180 95.1157
131.554413 83.276 94.6626
131.890869 83.348 94.2278
132.227325 83.413 93.9014
132.563782 83.486 93.6676
132.900238 83.577 93.4409
133.236694 83.682 93.1298
133.573151 83.791 92.6835
133.909607 83.890 92.0991
134.246063 83.970 91.4044
134.582520 84.023 90.6462
134.918976 84.039 89.8942
135.255432 84.017 89.2515
135.591888 83.958 88.8516
135.928345 83.877 88.8260
136.264801 83.802 89.2546
136.601257 83.765 90.1146
136.937714 83.794 91.2704
137.274170 83.901 92.5140
137.610626 84.084 93.6378
137.947083 84.327 94.4889
138.283539 84.612 94.9818
138.619995 84.919 95.0834
138.956451 85.232 94.7961
139.292908 85.537 94.1517
139.629364 85.822 93.2057
139.965820 86.081 92.0253
140.302277 86.312 90.6719
140.638733 86.516 89.1870
140.975189 86.692 87.5936
141.311646 86.838 85.9106
141.648102 86.949 84.1737
141.984558 87.022 82.4465
142.321014 87.056 80.8154
142.657471 87.059 79.3671
142.993927 87.044 78.1588
143.330383 87.027 77.1959
143.666840 87.021 76.4288
144.003296 87.032 75.7748
144.339752 87.057 75.1555
144.676208 87.086 74.5337
145.012665 87.111 73.9283
