* Measurement data measured by REW V5.31.3
* Source: Scarlett 2i4 USB, MICROPHONE, L, volume: no control. Timing signal peak level -16.6 dBFS, measurement signal peak level -12.5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Aug 8, 2024 4:30:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -1.8235 ms (-625 mm, -(2 ft 0.62 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: 3.2 ppm
* Measurement: SFR screens-p1-1
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 75.934 -38.8433
10.430145 76.801 -48.0412
10.766602 77.552 -56.7840
11.103058 78.205 -64.8162
11.439514 78.801 -71.9480
11.775970 79.403 -78.1671
12.112427 80.074 -83.7227
12.448883 80.844 -89.0916
12.785339 81.699 -94.7917
13.121796 82.581 -101.1623
13.458252 83.421 -108.2647
13.794708 84.161 -115.9247
14.131165 84.768 -123.8282
14.467621 85.234 -131.6100
14.804077 85.579 -138.9277
15.140533 85.846 -145.5420
15.476990 86.094 -151.4050
15.813446 86.375 -156.7116
16.149902 86.710 -161.8335
16.486359 87.076 -167.1262
16.822815 87.420 -172.7312
17.159271 87.689 -178.5058
17.495728 87.858 175.9055
17.832184 87.945 170.9187
18.168640 88.012 166.8106
18.505096 88.141 163.5174
18.841553 88.393 160.5793
19.178009 88.762 157.3755
19.514465 89.183 153.5065
19.850922 89.575 148.9810
20.187378 89.886 144.1156
20.523834 90.108 139.3176
20.860291 90.274 134.8867
21.196747 90.432 130.8948
21.533203 90.620 127.1865
21.869659 90.844 123.5159
22.206116 91.084 119.7235
22.542572 91.314 115.8156
22.879028 91.524 111.9080
23.215485 91.720 108.1083
23.551941 91.917 104.4400
23.888397 92.124 100.8582
24.224854 92.341 97.3320
24.561310 92.570 93.8973
24.897766 92.828 90.6053
25.234222 93.150 87.3836
25.570679 93.564 83.9339
25.907135 94.064 79.8077
26.243591 94.594 74.6407
26.580048 95.075 68.3453
26.916504 95.436 61.1243
27.252960 95.635 53.3593
27.589417 95.664 45.4756
27.925873 95.544 37.8248
28.262329 95.317 30.5904
28.598785 95.019 23.7443
28.935242 94.665 17.1077
29.271698 94.228 10.5281
29.608154 93.656 4.0862
29.944611 92.898 -1.7767
30.281067 91.953 -6.2610
30.617523 90.918 -8.4192
30.953979 90.027 -7.8180
31.290436 89.549 -5.5293
31.626892 89.523 -3.8576
31.963348 89.702 -4.2606
32.299805 89.819 -6.4039
32.636261 89.766 -9.0284
32.972717 89.611 -10.9508
33.309174 89.539 -11.8124
33.645630 89.716 -12.4909
33.982086 90.130 -14.4823
34.318542 90.601 -18.6415
34.654999 90.937 -24.7855
34.991455 91.024 -32.1598
35.327911 90.827 -39.8931
35.664368 90.369 -47.2080
36.000824 89.720 -53.5277
36.337280 88.975 -58.5834
36.673737 88.225 -62.4807
37.010193 87.520 -65.5840
37.346649 86.859 -68.2074
37.683105 86.219 -70.3691
38.019562 85.614 -71.8632
38.356018 85.112 -72.6133
38.692474 84.791 -73.0132
39.028931 84.671 -73.8494
39.365387 84.679 -75.7853
39.701843 84.707 -78.9766
40.038300 84.682 -83.1630
40.374756 84.583 -87.9869
40.711212 84.428 -93.2516
41.047668 84.245 -99.0178
41.384125 84.037 -105.5352
41.720581 83.780 -113.0724
42.057037 83.426 -121.7748
42.393494 82.927 -131.6270
42.729950 82.250 -142.4989
43.066406 81.384 -154.2113
43.402863 80.340 -166.5796
43.739319 79.157 -179.4291
44.075775 77.901 167.4167
44.412231 76.662 154.1654
44.748688 75.551 141.0833
45.085144 74.672 128.4888
45.421600 74.087 116.6891
45.758057 73.796 105.9041
46.094513 73.740 96.2490
46.430969 73.836 87.7911
46.767426 74.011 80.6008
47.103882 74.227 74.7382
47.440338 74.482 70.1841
47.776794 74.795 66.7766
48.113251 75.180 64.2283
48.449707 75.637 62.2386
48.786163 76.152 60.6094
49.122620 76.717 59.2656
49.459076 77.340 58.1707
49.795532 78.040 57.2238
50.131989 78.833 56.2213
50.468445 79.723 54.8945
50.804901 80.700 52.9694
51.141357 81.739 50.2020
51.477814 82.805 46.3948
51.814270 83.851 41.4237
52.150726 84.825 35.2705
52.487183 85.677 28.0370
52.823639 86.362 19.9319
53.160095 86.850 11.2410
53.496552 87.124 2.2949
53.833008 87.182 -6.5563
54.169464 87.041 -14.9713
54.505920 86.732 -22.6537
54.842377 86.304 -29.4067
55.178833 85.811 -35.1894
55.515289 85.299 -40.1345
55.851746 84.790 -44.4780
56.188202 84.278 -48.4140
56.524658 83.740 -51.9710
56.861115 83.165 -55.0012
57.197571 82.573 -57.2963
57.534027 82.011 -58.7725
57.870483 81.532 -59.6112
58.206940 81.155 -60.2134
58.543396 80.854 -60.9521
58.879852 80.572 -61.9315
59.216309 80.267 -62.9580
59.552765 79.938 -63.7085
59.889221 79.622 -63.9657
60.225677 79.377 -63.7945
60.562134 79.236 -63.5372
60.898590 79.186 -63.6000
61.235046 79.178 -64.2053
61.571503 79.161 -65.3112
61.907959 79.106 -66.7076
62.244415 79.012 -68.1636
62.580872 78.897 -69.5347
62.917328 78.783 -70.7986
63.253784 78.687 -72.0273
63.590240 78.612 -73.3204
63.926697 78.551 -74.7486
64.263153 78.494 -76.3299
64.599609 78.434 -78.0387
64.936066 78.369 -79.8294
65.272522 78.302 -81.6619
65.608978 78.241 -83.5216
65.945435 78.193 -85.4341
66.281891 78.164 -87.4652
66.618347 78.152 -89.7016
66.954803 78.146 -92.2172
67.291260 78.133 -95.0404
67.627716 78.098 -98.1439
67.964172 78.034 -101.4639
68.300629 77.941 -104.9374
68.637085 77.825 -108.5408
68.973541 77.690 -112.3030
69.309998 77.533 -116.2838
69.646454 77.342 -120.5188
69.982910 77.098 -124.9639
70.319366 76.785 -129.4666
70.655823 76.405 -133.7828
70.992279 75.985 -137.6492
71.328735 75.584 -140.9097
71.665192 75.278 -143.6707
72.001648 75.124 -146.3715
72.338104 75.130 -149.6392
72.674561 75.242 -153.9823
73.011017 75.376 -159.5743
73.347473 75.454 -166.2573
73.683929 75.427 -173.6619
74.020386 75.276 178.6782
74.356842 75.011 171.2551
74.693298 74.676 164.5244
75.029755 74.345 158.8103
75.366211 74.118 154.1591
75.702667 74.084 150.2238
76.039124 74.284 146.3499
76.375580 74.685 141.9005
76.712036 75.209 136.5552
77.048492 75.780 130.3444
77.384949 76.351 123.4883
77.721405 76.903 116.2153
78.057861 77.437 108.6543
78.394318 77.951 100.8113
78.730774 78.437 92.6196
79.067230 78.867 84.0260
79.403687 79.207 75.0627
79.740143 79.423 65.8752
80.076599 79.495 56.7046
80.413055 79.422 47.8374
80.749512 79.230 39.5254
81.085968 78.966 31.8777
81.422424 78.683 24.7535
81.758881 78.414 17.7382
82.095337 78.142 10.2800
82.431793 77.795 1.9233
82.768250 77.270 -7.5444
83.104706 76.453 -18.1105
83.441162 75.225 -29.6639
83.777618 73.440 -42.1788
84.114075 70.876 -56.0533
84.450531 67.092 -73.2794
84.786987 61.212 -104.4030
85.123444 58.398 174.6465
85.459900 64.267 128.8641
85.796356 68.255 111.6328
86.132812 70.922 100.9417
86.469269 72.885 92.5104
86.805725 74.406 85.0513
87.142181 75.605 78.1366
87.478638 76.550 71.6917
87.815094 77.298 65.7721
88.151550 77.904 60.4280
88.488007 78.421 55.6279
88.824463 78.889 51.2437
89.160919 79.334 47.0884
89.497375 79.761 42.9777
89.833832 80.166 38.7734
90.170288 80.537 34.3912
90.506744 80.857 29.7925
90.843201 81.111 24.9805
91.179657 81.277 20.0128
91.516113 81.338 15.0170
91.852570 81.283 10.1952
92.189026 81.115 5.8069
92.525482 80.856 2.1199
92.861938 80.549 -0.6659
93.198395 80.252 -2.5092
93.534851 80.020 -3.5760
93.871307 79.883 -4.1831
94.207764 79.839 -4.6447
94.544220 79.869 -5.1431
94.880676 79.955 -5.7203
95.217133 80.093 -6.3726
95.553589 80.289 -7.1486
95.890045 80.548 -8.1752
96.226501 80.858 -9.6060
96.562958 81.200 -11.5471
96.899414 81.548 -14.0265
97.235870 81.883 -17.0117
97.572327 82.193 -20.4510
97.908783 82.468 -24.3016
98.245239 82.701 -28.5345
98.581696 82.884 -33.1228
98.918152 83.006 -38.0289
99.254608 83.058 -43.2008
99.591064 83.032 -48.5740
99.927521 82.922 -54.0778
100.263977 82.721 -59.6337
100.600433 82.425 -65.1478
100.936890 82.029 -70.5009
101.273346 81.537 -75.5425
101.609802 80.958 -80.1052
101.946259 80.319 -84.0411
102.282715 79.657 -87.2837
102.619171 79.012 -89.9086
102.955627 78.415 -92.1421
103.292084 77.868 -94.2823
103.628540 77.350 -96.5629
103.964996 76.821 -99.0542
104.301453 76.251 -101.6641
104.637909 75.628 -104.2153
104.974365 74.958 -106.5435
105.310822 74.260 -108.5690
105.647278 73.551 -110.3116
105.983734 72.839 -111.8439
106.320190 72.121 -113.2238
106.656647 71.392 -114.4591
106.993103 70.652 -115.5315
107.329559 69.907 -116.4545
107.666016 69.161 -117.3090
108.002472 68.411 -118.2242
108.338928 67.636 -119.3225
108.675385 66.812 -120.6857
109.011841 65.909 -122.3756
109.348297 64.892 -124.4808
109.684753 63.708 -127.1327
110.021210 62.267 -130.4574
110.357666 60.437 -134.5013
110.694122 58.023 -139.2087
111.030579 54.714 -144.5895
111.367035 49.884 -151.7283
111.703491 41.722 -171.9242
112.039948 39.492 90.3588
112.376404 47.215 68.9714
112.712860 51.901 68.4579
113.049316 55.512 68.9807
113.385773 58.437 67.8202
113.722229 60.774 65.2278
114.058685 62.620 61.9956
114.395142 64.097 58.7374
114.731598 65.323 55.7065
115.068054 66.391 52.8142
115.404510 67.341 49.8038
115.740967 68.170 46.4989
116.077423 68.853 42.9578
116.413879 69.380 39.4561
116.750336 69.777 36.3342
117.086792 70.104 33.7843
117.423248 70.431 31.6759
117.759705 70.792 29.5698
118.096161 71.158 26.9906
118.432617 71.448 23.7600
118.769073 71.577 20.1312
119.105530 71.496 16.7109
119.441986 71.215 14.2933
119.778442 70.824 13.6136
120.114899 70.490 14.9323
120.451355 70.382 17.6102
120.787811 70.544 20.3423
121.124268 70.860 22.1581
121.460724 71.176 23.0273
121.797180 71.406 23.5669
122.133636 71.563 24.4751
122.470093 71.730 26.1100
122.806549 71.998 28.3038
123.143005 72.409 30.5151
123.479462 72.940 32.2266
123.815918 73.532 33.2139
124.152374 74.141 33.4993
124.488831 74.743 33.1705
124.825287 75.322 32.2812
125.161743 75.861 30.8690
125.498199 76.340 29.0208
125.834656 76.743 26.9020
126.171112 77.068 24.7262
126.507568 77.331 22.6860
126.844025 77.561 20.8818
127.180481 77.785 19.2909
127.516937 78.023 17.7985
127.853394 78.274 16.2751
128.189850 78.529 14.6490
128.526306 78.777 12.9258
128.862762 79.014 11.1531
129.199219 79.245 9.3691
129.535675 79.477 7.5675
129.872131 79.716 5.6967
130.208588 79.959 3.6870
130.545044 80.200 1.4802
130.881500 80.428 -0.9545
131.217957 80.631 -3.6218
131.554413 80.799 -6.5062
131.890869 80.922 -9.5741
132.227325 80.989 -12.7728
132.563782 80.993 -16.0295
132.900238 80.931 -19.2570
133.236694 80.804 -22.3667
133.573151 80.615 -25.2814
133.909607 80.370 -27.9385
134.246063 80.072 -30.2804
134.582520 79.726 -32.2330
134.918976 79.338 -33.6875
135.255432 78.924 -34.5096
135.591888 78.517 -34.5912
135.928345 78.163 -33.9393
136.264801 77.907 -32.7556
136.601257 77.771 -31.4131
136.937714 77.736 -30.3002
137.274170 77.755 -29.6312
137.610626 77.774 -29.3698
137.947083 77.762 -29.2930
138.283539 77.718 -29.1316
138.619995 77.668 -28.7147
138.956451 77.644 -28.0580
139.292908 77.665 -27.3392
139.629364 77.714 -26.7493
139.965820 77.758 -26.3130
140.302277 77.766 -25.8127
140.638733 77.746 -24.8729
140.975189 77.757 -23.1896
141.311646 77.896 -20.8348
141.648102 78.238 -18.4115
141.984558 78.770 -16.7714
142.321014 79.396 -16.4736
142.657471 79.998 -17.5259
