* Measurement data measured by REW V5.31.3
* Source: Scarlett 2i4 USB, MICROPHONE, L, volume: no control. Timing signal peak level -16.5 dBFS, measurement signal peak level -13.9 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Aug 8, 2024 4:30:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -7.6237 ms (-2.615 m, -(8 ft 7 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: 3.1 ppm
* Measurement: SR screens-p1-1
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 70.065 -39.1460
10.430145 70.651 -48.2527
10.766602 70.967 -56.7365
11.103058 71.048 -63.5345
11.439514 71.059 -67.6737
11.775970 71.301 -69.1728
12.112427 72.017 -69.8749
12.448883 73.130 -72.2928
12.785339 74.341 -77.4783
13.121796 75.400 -84.9364
13.458252 76.193 -93.6751
13.794708 76.706 -102.8094
14.131165 76.971 -111.7203
14.467621 77.037 -120.0644
14.804077 76.950 -127.7268
15.140533 76.734 -134.7110
15.476990 76.390 -140.9839
15.813446 75.917 -146.3555
16.149902 75.337 -150.4942
16.486359 74.722 -153.1365
16.822815 74.173 -154.4333
17.159271 73.751 -155.1025
17.495728 73.399 -155.9870
17.832184 72.959 -157.3092
18.168640 72.274 -158.3272
18.505096 71.286 -157.4245
18.841553 70.147 -152.4701
19.178009 69.347 -142.2653
19.514465 69.462 -129.3035
19.850922 70.452 -118.2443
20.187378 71.853 -110.7325
20.523834 73.404 -106.1599
20.860291 75.020 -104.1641
21.196747 76.602 -104.7628
21.533203 78.008 -107.6759
21.869659 79.118 -112.1267
22.206116 79.878 -117.0171
22.542572 80.316 -121.1237
22.879028 80.567 -123.3572
23.215485 80.874 -123.3468
23.551941 81.471 -122.1180
23.888397 82.375 -121.5662
24.224854 83.379 -122.7288
24.561310 84.273 -125.1518
24.897766 84.997 -127.6331
25.234222 85.661 -129.1524
25.570679 86.475 -129.6982
25.907135 87.576 -130.5565
26.243591 88.885 -133.2943
26.580048 90.186 -138.4847
26.916504 91.296 -145.6706
27.252960 92.127 -153.9835
27.589417 92.672 -162.5676
27.925873 92.979 -170.7658
28.262329 93.133 -178.2416
28.598785 93.218 174.9326
28.935242 93.278 168.3439
29.271698 93.285 161.5419
29.608154 93.159 154.3986
29.944611 92.811 147.2784
30.281067 92.198 141.0028
30.617523 91.362 136.6886
30.953979 90.489 135.3007
31.290436 89.888 136.6511
31.626892 89.758 138.7504
31.963348 89.965 139.4155
32.299805 90.212 138.2803
32.636261 90.337 136.4568
32.972717 90.385 135.2167
33.309174 90.545 134.9280
33.645630 90.979 134.5847
33.982086 91.642 132.6388
34.318542 92.328 128.3836
34.654999 92.845 122.1982
34.991455 93.093 114.9606
35.327911 93.055 107.5838
35.664368 92.775 100.8120
36.000824 92.334 95.1078
36.337280 91.826 90.5683
36.673737 91.318 86.9628
37.010193 90.827 83.9746
37.346649 90.335 81.5003
37.683105 89.841 79.7198
38.019562 89.394 78.8405
38.356018 89.083 78.6924
38.692474 88.963 78.5829
39.028931 88.990 77.7074
39.365387 89.050 75.7237
39.701843 89.041 72.8750
40.038300 88.920 69.7004
40.374756 88.712 66.6809
40.711212 88.475 63.9849
41.047668 88.263 61.3957
41.384125 88.076 58.4921
41.720581 87.861 54.9765
42.057037 87.540 50.8898
42.393494 87.050 46.6060
42.729950 86.369 42.7076
43.066406 85.524 39.8376
43.402863 84.599 38.5140
43.739319 83.723 38.8696
44.075775 83.019 40.4437
44.412231 82.532 42.3488
44.748688 82.204 43.8344
45.085144 81.939 44.6896
45.421600 81.668 45.1547
45.758057 81.377 45.5991
46.094513 81.093 46.2570
46.430969 80.855 47.1208
46.767426 80.685 47.9989
47.103882 80.575 48.6747
47.440338 80.502 49.0377
47.776794 80.441 49.1048
48.113251 80.379 48.9612
48.449707 80.315 48.6960
48.786163 80.250 48.3773
49.122620 80.194 48.0570
49.459076 80.158 47.7733
49.795532 80.161 47.5259
50.131989 80.229 47.2317
50.468445 80.381 46.6950
50.804901 80.621 45.6303
51.141357 80.932 43.7397
51.477814 81.275 40.7996
51.814270 81.600 36.7113
52.150726 81.860 31.5045
52.487183 82.012 25.3125
52.823639 82.023 18.3445
53.160095 81.874 10.8601
53.496552 81.559 3.1482
53.833008 81.086 -4.4983
54.169464 80.481 -11.8194
54.505920 79.782 -18.6397
54.842377 79.034 -24.9180
55.178833 78.274 -30.7531
55.515289 77.515 -36.3052
55.851746 76.742 -41.6467
56.188202 75.936 -46.6348
56.524658 75.098 -50.8966
56.861115 74.281 -53.9797
57.197571 73.595 -55.6738
57.534027 73.168 -56.3579
57.870483 73.055 -56.9504
58.206940 73.194 -58.2954
58.543396 73.475 -60.6447
58.879852 73.817 -63.7589
59.216309 74.200 -67.3179
59.552765 74.635 -71.2062
59.889221 75.123 -75.5291
60.225677 75.634 -80.4272
60.562134 76.117 -85.8862
60.898590 76.529 -91.6915
61.235046 76.853 -97.5204
61.571503 77.100 -103.0819
61.907959 77.300 -108.2310
62.244415 77.483 -113.0020
62.580872 77.655 -117.5295
62.917328 77.801 -121.9015
63.253784 77.898 -126.0518
63.590240 77.940 -129.7745
63.926697 77.950 -132.8510
64.263153 77.975 -135.2212
64.599609 78.061 -137.0856
64.936066 78.223 -138.8237
65.272522 78.430 -140.7623
65.608978 78.631 -142.9912
65.945435 78.787 -145.3707
66.281891 78.888 -147.6731
66.618347 78.947 -149.7336
66.954803 78.986 -151.5234
67.291260 79.017 -153.1157
67.627716 79.037 -154.5884
67.964172 79.035 -155.9495
68.300629 79.007 -157.1443
68.637085 78.958 -158.1215
68.973541 78.893 -158.8831
69.309998 78.813 -159.4619
69.646454 78.706 -159.8393
69.982910 78.561 -159.8806
70.319366 78.390 -159.3621
70.655823 78.230 -158.1000
70.992279 78.139 -156.1139
71.328735 78.165 -153.6831
71.665192 78.313 -151.1989
72.001648 78.557 -148.9191
72.338104 78.864 -146.8712
72.674561 79.228 -144.9715
73.011017 79.665 -143.2211
73.347473 80.192 -141.7986
73.683929 80.798 -140.9822
74.020386 81.448 -140.9854
74.356842 82.093 -141.8563
74.693298 82.688 -143.4927
75.029755 83.206 -145.7112
75.366211 83.628 -148.3025
75.702667 83.947 -151.0516
76.039124 84.164 -153.7343
76.375580 84.288 -156.1152
76.712036 84.345 -157.9709
77.048492 84.377 -159.1478
77.384949 84.439 -159.6420
77.721405 84.581 -159.6529
78.057861 84.829 -159.5388
78.394318 85.177 -159.6783
78.730774 85.590 -160.3315
79.067230 86.029 -161.5984
79.403687 86.459 -163.4655
79.740143 86.854 -165.8683
80.076599 87.194 -168.7180
80.413055 87.460 -171.8927
80.749512 87.640 -175.2234
81.085968 87.733 -178.4992
81.422424 87.756 178.4903
81.758881 87.742 175.8786
82.095337 87.734 173.6431
82.431793 87.766 171.5780
82.768250 87.841 169.3746
83.104706 87.935 166.7742
83.441162 88.004 163.6888
83.777618 88.005 160.2155
84.114075 87.917 156.5657
84.450531 87.736 152.9731
84.786987 87.475 149.6207
85.123444 87.153 146.6090
85.459900 86.788 143.9662
85.796356 86.393 141.6889
86.132812 85.975 139.7800
86.469269 85.542 138.2510
86.805725 85.108 137.0955
87.142181 84.681 136.2634
87.478638 84.263 135.6804
87.815094 83.846 135.3118
88.151550 83.421 135.2161
88.488007 82.990 135.5287
88.824463 82.578 136.3603
89.160919 82.224 137.6719
89.497375 81.954 139.2390
89.833832 81.763 140.7764
90.170288 81.618 142.1324
90.506744 81.490 143.3708
90.843201 81.373 144.6703
91.179657 81.291 146.1345
91.516113 81.275 147.6618
91.852570 81.335 148.9872
92.189026 81.447 149.8685
92.525482 81.570 150.2414
92.861938 81.670 150.2219
93.198395 81.739 149.9906
93.534851 81.785 149.6700
93.871307 81.821 149.2759
94.207764 81.850 148.7559
94.544220 81.863 148.0737
94.880676 81.848 147.2662
95.217133 81.800 146.4333
95.553589 81.726 145.6786
95.890045 81.641 145.0458
96.226501 81.561 144.4949
96.562958 81.492 143.9305
96.899414 81.429 143.2610
97.235870 81.361 142.4415
97.572327 81.273 141.4797
97.908783 81.159 140.4145
98.245239 81.012 139.2914
98.581696 80.828 138.1565
98.918152 80.604 137.0633
99.254608 80.337 136.0816
99.591064 80.028 135.2944
99.927521 79.686 134.7822
100.263977 79.320 134.6036
100.600433 78.944 134.7847
100.936890 78.569 135.3260
101.273346 78.204 136.2192
101.609802 77.860 137.4605
101.946259 77.549 139.0411
102.282715 77.289 140.9158
102.619171 77.097 142.9711
102.955627 76.980 145.0241
103.292084 76.931 146.8713
103.628540 76.926 148.3646
103.964996 76.933 149.4655
104.301453 76.928 150.2454
104.637909 76.896 150.8384
104.974365 76.838 151.3786
105.310822 76.765 151.9459
105.647278 76.688 152.5475
105.983734 76.614 153.1357
106.320190 76.540 153.6546
106.656647 76.456 154.0850
106.993103 76.351 154.4633
107.329559 76.221 154.8714
107.666016 76.067 155.4047
108.002472 75.901 156.1341
108.338928 75.737 157.0731
108.675385 75.589 158.1696
109.011841 75.458 159.3351
109.348297 75.335 160.5059
109.684753 75.206 161.6996
110.021210 75.063 163.0220
110.357666 74.915 164.6108
110.694122 74.784 166.5398
111.030579 74.700 168.7472
111.367035 74.678 171.0565
111.703491 74.712 173.2863
112.039948 74.781 175.3565
112.376404 74.871 177.2979
112.712860 74.980 179.1727
113.049316 75.118 -179.0074
113.385773 75.291 -177.2983
113.722229 75.501 -175.7850
114.058685 75.742 -174.5490
114.395142 76.009 -173.6765
114.731598 76.285 -173.2672
115.068054 76.544 -173.3850
115.404510 76.748 -173.9692
115.740967 76.866 -174.7816
116.077423 76.898 -175.4619
116.413879 76.885 -175.7034
116.750336 76.894 -175.4812
117.086792 76.975 -175.1510
117.423248 77.114 -175.2143
117.759705 77.235 -175.8843
118.096161 77.262 -176.8576
118.432617 77.182 -177.4639
118.769073 77.079 -177.1107
119.105530 77.106 -175.8777
119.441986 77.359 -174.7756
119.778442 77.767 -175.0417
120.114899 78.140 -177.1191
120.451355 78.300 179.5365
120.787811 78.159 176.0528
121.124268 77.748 173.7513
121.460724 77.232 173.7214
121.797180 76.894 176.0174
122.133636 76.947 179.0428
122.470093 77.319 -179.3106
122.806549 77.746 -179.8063
123.143005 78.016 178.2072
123.479462 78.063 175.8528
123.815918 77.935 174.0754
124.152374 77.747 173.3081
124.488831 77.613 173.3502
124.825287 77.576 173.5988
125.161743 77.602 173.5562
125.498199 77.629 173.1381
125.834656 77.622 172.5554
126.171112 77.590 172.0237
126.507568 77.559 171.5760
126.844025 77.545 171.0812
127.180481 77.539 170.3912
127.516937 77.522 169.4532
127.853394 77.479 168.3002
128.189850 77.401 166.9757
128.526306 77.282 165.5031
128.862762 77.109 163.9301
129.199219 76.869 162.3918
129.535675 76.566 161.1031
129.872131 76.229 160.2470
130.208588 75.906 159.8156
130.545044 75.629 159.5498
130.881500 75.386 159.1013
131.217957 75.125 158.3185
131.554413 74.791 157.3985
131.890869 74.370 156.7840
132.227325 73.909 156.8786
132.563782 73.486 157.7327
132.900238 73.163 158.9471
133.236694 72.922 159.9988
133.573151 72.694 160.7259
133.909607 72.428 161.4565
134.246063 72.148 162.6738
134.582520 71.950 164.4804
134.918976 71.909 166.3003
135.255432 71.997 167.2560
135.591888 72.084 166.9229
135.928345 72.033 165.6276
136.264801 71.781 164.1874
136.601257 71.357 163.4965
136.937714 70.879 164.0999
137.274170 70.491 165.8195
137.610626 70.264 167.8135
137.947083 70.141 169.2822
138.283539 70.010 170.0977
138.619995 69.806 170.7142
138.956451 69.549 171.6489
139.292908 69.311 173.0277
139.629364 69.141 174.5115
139.965820 69.019 175.6801
140.302277 68.887 176.4694
140.638733 68.720 177.1665
140.975189 68.558 177.9948
141.311646 68.460 178.6996
141.648102 68.424 178.6070
141.984558 68.343 177.2024
142.321014 68.067 174.6204
142.657471 67.482 171.6624
142.993927 66.561 169.5554
143.330383 65.417 169.5558
143.666840 64.308 172.0860
144.003296 63.472 175.7095
